#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.033333 0.0000000 0.0000000 -2.2500000 0.0000000 0.0000000 0.0000000 1.0000000
0.066667 0.0004663 0.0089536 -2.2493500 -0.0010136 0.0005245 -0.0002315 0.9999990
0.100000 -0.0001550 -0.0001030 -2.2506600 -0.0046515 0.0003808 0.0004002 0.9999890
0.133333 0.0007398 -0.0024226 -2.2507600 -0.0040878 0.0000873 0.0008336 0.9999910
0.166667 0.0009561 0.0030713 -2.2499500 -0.0031502 0.0000686 0.0011714 0.9999940
0.200000 0.0008576 0.0033407 -2.2500400 -0.0043143 -0.0000211 0.0014714 0.9999900
0.233333 0.0014617 0.0004811 -2.2500900 -0.0051707 -0.0002836 0.0017992 0.9999850
0.266667 0.0014513 0.0005493 -2.2505100 -0.0046865 -0.0000615 0.0020000 0.9999870
0.300000 0.0029068 0.0019414 -2.2503500 -0.0044847 -0.0000761 0.0018669 0.9999880
0.333333 0.0027413 0.0025122 -2.2501300 -0.0047017 0.0002467 0.0020798 0.9999870
0.366667 0.0031250 0.0020499 -2.2507100 -0.0050278 0.0003410 0.0023219 0.9999850
0.400000 0.0032186 0.0004375 -2.2512400 -0.0051335 0.0003494 0.0028128 0.9999830
0.433333 0.0033042 -0.0005233 -2.2514300 -0.0048890 0.0003317 0.0032553 0.9999830
0.466667 0.0035272 -0.0012054 -2.2519700 -0.0045853 0.0001355 0.0034161 0.9999840
0.500000 0.0035834 -0.0010266 -2.2522400 -0.0041550 0.0000023 0.0034962 0.9999850
0.533333 0.0028267 -0.0016799 -2.2528100 -0.0038931 0.0001132 0.0033033 0.9999870
0.566667 0.0032942 -0.0028107 -2.2530800 -0.0038096 0.0001607 0.0030491 0.9999880
0.600000 0.0045872 -0.0032599 -2.2531800 -0.0034654 0.0005256 0.0024351 0.9999910
0.633333 0.0050077 -0.0032616 -2.2536400 -0.0031710 0.0011738 0.0023449 0.9999920
0.666667 0.0040829 -0.0040615 -2.2534100 -0.0029184 0.0019893 0.0023497 0.9999910
0.700000 0.0036483 -0.0038130 -2.2536600 -0.0022725 0.0028847 0.0023585 0.9999900
0.733333 0.0041647 -0.0029821 -2.2535300 -0.0018403 0.0034922 0.0023634 0.9999890
0.766667 0.0049369 -0.0026100 -2.2532000 -0.0016682 0.0039444 0.0024954 0.9999880
0.800000 0.0062003 -0.0024576 -2.2529000 -0.0017509 0.0043781 0.0023373 0.9999860
0.833333 0.0057058 -0.0019693 -2.2531600 -0.0017342 0.0053473 0.0024186 0.9999810
0.866667 0.0059853 -0.0026290 -2.2531000 -0.0019338 0.0063087 0.0025660 0.9999750
0.900000 0.0079129 -0.0014672 -2.2530400 -0.0018223 0.0071804 0.0028355 0.9999690
0.933333 0.0091724 -0.0020359 -2.2529700 -0.0020146 0.0081806 0.0036179 0.9999580
0.966667 0.0083954 -0.0005057 -2.2527400 -0.0019796 0.0097213 0.0046065 0.9999400
1.000000 0.0106025 -0.0007730 -2.2525700 -0.0023871 0.0110781 0.0054889 0.9999210
1.033333 0.0124264 -0.0019498 -2.2522200 -0.0025551 0.0130100 0.0068215 0.9998890
1.066667 0.0122073 -0.0013764 -2.2514100 -0.0022909 0.0158291 0.0081279 0.9998390
1.100000 0.0118799 -0.0011432 -2.2506600 -0.0024123 0.0187507 0.0092469 0.9997790
1.133333 0.0121558 -0.0017500 -2.2500100 -0.0025494 0.0221523 0.0108546 0.9996920
1.166667 0.0134840 -0.0000947 -2.2491000 -0.0022596 0.0252658 0.0124723 0.9996000
1.200000 0.0145624 -0.0001514 -2.2485800 -0.0025493 0.0285223 0.0143084 0.9994870
1.233333 0.0161326 0.0007482 -2.2468500 -0.0024834 0.0356635 0.0183446 0.9991920
1.266667 0.0177505 0.0005243 -2.2458400 -0.0026364 0.0396893 0.0203375 0.9990020
1.300000 0.0190222 0.0007072 -2.2454700 -0.0024923 0.0435397 0.0218787 0.9988090
1.333333 0.0206056 0.0042353 -2.2439800 -0.0019984 0.0475172 0.0235147 0.9985920
1.366667 0.0224986 0.0040686 -2.2436500 -0.0030486 0.0515792 0.0251250 0.9983480
1.400000 0.0243084 0.0017827 -2.2430900 -0.0040435 0.0561498 0.0271651 0.9980450
1.433333 0.0256889 0.0002580 -2.2421400 -0.0043585 0.0613449 0.0292060 0.9976800
1.466667 0.0277228 0.0023546 -2.2410500 -0.0036572 0.0661142 0.0315141 0.9973080
1.500000 0.0557566 0.0028021 -2.2449000 -0.0044490 0.0653339 0.0360860 0.9972010
1.533333 0.1160890 0.0061355 -2.2559800 -0.0051895 0.0582232 0.0369059 0.9976080
1.566667 0.1187010 0.0063996 -2.2556000 -0.0050555 0.0631493 0.0388698 0.9972340
1.600000 0.1210850 0.0074432 -2.2553400 -0.0051122 0.0681283 0.0409170 0.9968240
1.633333 0.1236500 0.0076866 -2.2550900 -0.0052480 0.0728258 0.0427352 0.9964150
1.666667 0.1265030 0.0086985 -2.2552700 -0.0051668 0.0775787 0.0444655 0.9959810
1.700000 0.1297230 0.0095913 -2.2552500 -0.0052140 0.0821083 0.0461804 0.9955390
1.733333 0.1311110 0.0104728 -2.2551800 -0.0053506 0.0871777 0.0477220 0.9950350
1.766667 0.1344020 0.0101137 -2.2556300 -0.0058808 0.0921654 0.0492651 0.9945070
1.800000 0.1378270 0.0079126 -2.2565700 -0.0058178 0.0968633 0.0508793 0.9939790
1.833333 0.1392390 0.0094030 -2.2567400 -0.0046731 0.1017770 0.0526814 0.9934000
1.866667 0.1388030 0.0120156 -2.2561400 -0.0041216 0.1069550 0.0549232 0.9927370
1.900000 0.1407710 0.0131354 -2.2565300 -0.0040085 0.1114930 0.0572846 0.9921050
1.933333 0.1426330 0.0136049 -2.2570500 -0.0037750 0.1163750 0.0600217 0.9913830
1.966667 0.1456890 0.0143924 -2.2581800 -0.0038531 0.1209720 0.0625137 0.9906780
2.000000 0.1475350 0.0146928 -2.2584500 -0.0042746 0.1257700 0.0654895 0.9898860
2.033333 0.1511240 0.0148304 -2.2597200 -0.0047000 0.1300280 0.0683953 0.9891370
2.066667 0.1546500 0.0142686 -2.2608000 -0.0046917 0.1345520 0.0712474 0.9883310
2.100000 0.1583160 0.0162442 -2.2624500 -0.0043419 0.1391530 0.0737475 0.9875120
2.133333 0.1623200 0.0159793 -2.2643200 -0.0047390 0.1437320 0.0760778 0.9866770
2.166667 0.1668820 0.0168929 -2.2666100 -0.0049368 0.1483410 0.0783305 0.9858170
2.200000 0.1701580 0.0173767 -2.2686100 -0.0051521 0.1534380 0.0807073 0.9848430
2.233333 0.1747420 0.0170982 -2.2713900 -0.0053089 0.1583700 0.0831650 0.9838570
2.266667 0.1780530 0.0191226 -2.2732500 -0.0051253 0.1631390 0.0856354 0.9828660
2.300000 0.1802840 0.0205202 -2.2742000 -0.0054234 0.1681250 0.0885311 0.9817670
2.333333 0.1842960 0.0199735 -2.2764700 -0.0062411 0.1722520 0.0911437 0.9808070
2.366667 0.1870500 0.0200393 -2.2779500 -0.0064050 0.1769390 0.0940372 0.9796980
2.400000 0.1893490 0.0205956 -2.2792000 -0.0067678 0.1818960 0.0967378 0.9785240
2.433333 0.1937120 0.0209467 -2.2819600 -0.0069028 0.1863160 0.0991602 0.9774490
2.466667 0.1952620 0.0208542 -2.2828400 -0.0067053 0.1915010 0.1019560 0.9761600
