#TimeStamp Tx Ty Tz Qx Qy Qz Qw
0.033333 0.0000000 0.0000000 -2.5000000 0.0000000 0.0000000 0.0000000 1.0000000
0.066667 -0.0012636 0.0040092 -2.4999700 0.0021373 -0.0006068 -0.0003114 0.9999970
0.100000 -0.0016797 0.0031297 -2.5006300 0.0010317 -0.0017692 0.0001227 0.9999980
0.133333 -0.0002470 -0.0008502 -2.4985000 0.0000190 -0.0028845 0.0011870 0.9999950
0.166667 0.0017209 0.0058408 -2.4989900 0.0026295 -0.0039400 0.0007192 0.9999880
0.200000 0.0018554 0.0125012 -2.5011000 0.0035221 -0.0035555 0.0002756 0.9999870
0.233333 0.0003314 0.0112517 -2.5018100 0.0012389 -0.0025654 0.0003439 0.9999960
0.266667 -0.0003755 0.0087712 -2.4998500 -0.0000691 -0.0023044 0.0015217 0.9999960
0.300000 -0.0016913 0.0138311 -2.5010800 0.0012300 -0.0023379 0.0017246 0.9999950
0.333333 -0.0017347 0.0113013 -2.5018600 -0.0005379 -0.0029078 0.0019983 0.9999940
0.366667 -0.0010951 0.0048311 -2.4998200 -0.0021567 -0.0038254 0.0026779 0.9999870
0.400000 0.0002234 0.0062413 -2.4997400 -0.0004762 -0.0044618 0.0025914 0.9999870
0.433333 0.0020831 0.0112724 -2.5014700 0.0013385 -0.0054054 0.0021286 0.9999820
0.466667 0.0039375 0.0101433 -2.5015400 0.0003814 -0.0058983 0.0016438 0.9999810
0.500000 0.0046527 0.0092933 -2.5013600 0.0002235 -0.0057555 0.0017730 0.9999820
0.533333 0.0044489 0.0117736 -2.5025700 0.0006948 -0.0060659 0.0015549 0.9999800
0.566667 0.0039721 0.0111034 -2.5035000 -0.0000577 -0.0059148 0.0015008 0.9999810
0.600000 0.0042610 0.0083935 -2.5033400 -0.0011973 -0.0062047 0.0021180 0.9999780
0.633333 0.0039833 0.0094037 -2.5050900 -0.0006588 -0.0061229 0.0031815 0.9999760
0.666667 0.0056059 0.0073843 -2.5049400 -0.0006769 -0.0061169 0.0041414 0.9999720
0.700000 0.0056965 0.0055542 -2.5047200 -0.0006698 -0.0058074 0.0044933 0.9999730
0.733333 0.0074463 0.0098557 -2.5075400 0.0015437 -0.0038538 0.0050109 0.9999790
0.766667 0.0088096 0.0090759 -2.5075500 0.0011089 -0.0026755 0.0055620 0.9999800
0.800000 0.0088978 0.0110564 -2.5097800 0.0019196 -0.0009204 0.0054897 0.9999830
0.833333 0.0076935 0.0111861 -2.5106200 0.0021035 0.0009464 0.0054223 0.9999830
0.866667 0.0084372 0.0140262 -2.5124000 0.0031102 0.0023091 0.0056894 0.9999760
0.900000 0.0076587 0.0154159 -2.5135400 0.0032288 0.0042778 0.0055389 0.9999700
0.933333 0.0084171 0.0168266 -2.5145400 0.0033948 0.0063850 0.0061578 0.9999550
0.966667 0.0105748 0.0162375 -2.5149500 0.0030168 0.0080230 0.0065511 0.9999420
1.000000 0.0137651 0.0155187 -2.5160500 0.0028018 0.0097346 0.0071078 0.9999230
1.033333 0.0139787 0.0134287 -2.5170700 0.0016915 0.0124708 0.0078209 0.9998900
1.066667 0.0148041 0.0109389 -2.5173900 0.0007539 0.0150941 0.0090641 0.9998450
1.100000 0.0202456 0.0094314 -2.5193900 0.0002375 0.0198420 0.0102813 0.9997500
1.133333 0.0197306 0.0103016 -2.5208000 0.0007292 0.0232861 0.0101455 0.9996770
1.166667 0.0200124 0.0118818 -2.5234200 0.0007882 0.0266700 0.0098871 0.9995950
1.200000 0.0216918 0.0125332 -2.5252600 0.0004579 0.0300398 0.0097940 0.9995010
1.233333 0.0215232 0.0124528 -2.5257900 0.0002582 0.0337695 0.0097217 0.9993820
1.266667 0.0220344 0.0120137 -2.5267600 0.0002426 0.0371885 0.0101208 0.9992570
1.300000 0.0240042 0.0119543 -2.5276100 0.0001683 0.0401481 0.0114280 0.9991280
1.333333 0.0276265 0.0109560 -2.5286600 -0.0009925 0.0466064 0.0129111 0.9988290
1.366667 0.0278416 0.0110362 -2.5298700 -0.0011738 0.0501354 0.0132686 0.9986540
1.400000 0.0289996 0.0111973 -2.5312100 -0.0014499 0.0534426 0.0138223 0.9984740
1.433333 0.0302663 0.0106180 -2.5316700 -0.0018160 0.0568649 0.0142304 0.9982790
1.466667 0.0314517 0.0097084 -2.5327900 -0.0021564 0.0603617 0.0156554 0.9980510
1.500000 0.0323505 0.0092792 -2.5335700 -0.0025233 0.0636793 0.0167836 0.9978260
1.533333 0.0334685 0.0076802 -2.5341700 -0.0036570 0.0670477 0.0175053 0.9975890
1.566667 0.0347130 0.0069709 -2.5343800 -0.0041946 0.0705565 0.0180724 0.9973350
1.600000 0.0354528 0.0087514 -2.5359700 -0.0035419 0.0739649 0.0189564 0.9970740
1.633333 0.0321720 0.0072007 -2.5377300 -0.0045683 0.0781199 0.0193856 0.9967450
1.666667 0.0315528 0.0042510 -2.5375000 -0.0057776 0.0819125 0.0200274 0.9964220
1.700000 0.0316176 0.0058410 -2.5380200 -0.0048020 0.0854825 0.0204656 0.9961180
1.733333 0.0318251 0.0088818 -2.5398900 -0.0039607 0.0888366 0.0207949 0.9958210
1.766667 0.0318897 0.0080214 -2.5399800 -0.0047715 0.0927740 0.0216105 0.9954410
1.800000 0.0323915 0.0065515 -2.5403100 -0.0052445 0.0964554 0.0222194 0.9950750
1.833333 0.0332830 0.0071724 -2.5412400 -0.0049376 0.0998611 0.0229531 0.9947240
1.866667 0.0334480 0.0090830 -2.5431300 -0.0047013 0.1034630 0.0237593 0.9943380
1.900000 0.0357692 0.0081942 -2.5430900 -0.0057193 0.1069770 0.0253095 0.9939230
1.933333 0.0381806 0.0065045 -2.5439000 -0.0062843 0.1104490 0.0269054 0.9934980
1.966667 0.0403254 0.0095558 -2.5459800 -0.0053804 0.1140950 0.0279917 0.9930610
2.000000 0.0400499 0.0113358 -2.5473600 -0.0053132 0.1185240 0.0286140 0.9925250
2.033333 0.0412441 0.0105956 -2.5473800 -0.0059000 0.1225180 0.0296734 0.9920050
2.066667 0.0454067 0.0097272 -2.5477100 -0.0060708 0.1255190 0.0306826 0.9915980
2.100000 0.0469253 0.0125785 -2.5506600 -0.0051891 0.1292310 0.0311344 0.9911120
2.133333 0.0474590 0.0118785 -2.5509800 -0.0059723 0.1335100 0.0317588 0.9905200
2.166667 0.0454673 0.0149181 -2.5526100 -0.0054403 0.1377850 0.0317684 0.9899380
2.200000 0.0454923 0.0159783 -2.5541700 -0.0064683 0.1413810 0.0327790 0.9893910
2.233333 0.0488112 0.0178094 -2.5547100 -0.0074142 0.1445920 0.0340879 0.9888760
2.266667 0.0496644 0.0174403 -2.5558700 -0.0083594 0.1485170 0.0350395 0.9882540
2.300000 0.0512674 0.0165813 -2.5566500 -0.0093088 0.1519100 0.0361979 0.9876870
2.333333 0.0528768 0.0162520 -2.5581100 -0.0100987 0.1550010 0.0373550 0.9871560
2.366667 0.0538776 0.0165224 -2.5590200 -0.0104915 0.1583040 0.0383313 0.9865900
2.400000 0.0555148 0.0149434 -2.5608100 -0.0109384 0.1614570 0.0395218 0.9860270
2.433333 0.0566407 0.0152242 -2.5631700 -0.0110928 0.1649800 0.0411797 0.9853750
2.466667 0.0602218 0.0153856 -2.5644300 -0.0117880 0.1680970 0.0423797 0.9847890
2.500000 0.0623735 0.0144570 -2.5659400 -0.0125282 0.1719160 0.0433910 0.9840760
2.533333 0.0640944 0.0141380 -2.5670100 -0.0127768 0.1760580 0.0444473 0.9832930
2.566667 0.0660032 0.0157988 -2.5697200 -0.0122016 0.1798140 0.0447480 0.9826070
2.600000 0.0683252 0.0149398 -2.5704200 -0.0127124 0.1837370 0.0457922 0.9818260
2.633333 0.0707520 0.0152507 -2.5726700 -0.0127157 0.1874450 0.0463479 0.9810990
2.666667 0.0742909 0.0162220 -2.5741000 -0.0129522 0.1913750 0.0467893 0.9803160
2.700000 0.0768372 0.0172133 -2.5760400 -0.0131870 0.1956040 0.0470609 0.9794640
2.733333 0.0779078 0.0173738 -2.5778700 -0.0140307 0.1999370 0.0476321 0.9785500
2.766667 0.0819237 0.0175953 -2.5800200 -0.0153378 0.2031110 0.0480205 0.9778570
2.800000 0.0888059 0.0153778 -2.5803100 -0.0166500 0.2057560 0.0481836 0.9772750
2.833333 0.0903811 0.0137491 -2.5821700 -0.0166164 0.2092350 0.0470913 0.9765890
2.866667 0.0917140 0.0141301 -2.5843900 -0.0161779 0.2125950 0.0462398 0.9759120
2.900000 0.0951813 0.0122011 -2.5851300 -0.0164639 0.2156320 0.0458422 0.9752590
2.933333 0.0970063 0.0120120 -2.5862400 -0.0159140 0.2192180 0.0463249 0.9744450
2.966667 0.0988395 0.0119226 -2.5875700 -0.0158717 0.2224300 0.0464941 0.9737100
3.000000 0.1028930 0.0118444 -2.5884400 -0.0158869 0.2252080 0.0477213 0.9730120
3.033333 0.1089720 0.0101068 -2.5886200 -0.0160384 0.2273070 0.0493579 0.9724390
3.066667 0.1142600 0.0075192 -2.5897900 -0.0159353 0.2295840 0.0504191 0.9718510
3.100000 0.1197100 0.0080309 -2.5917200 -0.0149340 0.2321240 0.0499577 0.9712880
3.133333 0.1235910 0.0079927 -2.5936800 -0.0141707 0.2357170 0.0497580 0.9704440
3.166667 0.1284170 0.0088150 -2.5952900 -0.0135827 0.2390340 0.0490763 0.9696750
3.200000 0.1335100 0.0077672 -2.5975900 -0.0141704 0.2416830 0.0492394 0.9690020
3.233333 0.1390480 0.0076792 -2.5983400 -0.0143861 0.2439500 0.0490896 0.9684380
3.266667 0.1444230 0.0080218 -2.5997900 -0.0141086 0.2461480 0.0479876 0.9679410
3.300000 0.1493310 0.0076637 -2.6002900 -0.0144067 0.2486630 0.0477487 0.9673050
3.333333 0.1549850 0.0061660 -2.6013100 -0.0147771 0.2503280 0.0470270 0.9669050
3.366667 0.1579900 0.0065074 -2.6028400 -0.0144357 0.2521550 0.0459091 0.9664890
3.400000 0.1633160 0.0042102 -2.6024200 -0.0153274 0.2531420 0.0457561 0.9662250
3.433333 0.1702220 0.0024331 -2.6029100 -0.0156447 0.2533100 0.0455611 0.9661850
3.466667 0.1745800 0.0015049 -2.6031400 -0.0154339 0.2542230 0.0447828 0.9659850
3.500000 0.1792160 0.0026665 -2.6048600 -0.0149190 0.2546000 0.0436438 0.9659460
3.533333 0.1844240 0.0032289 -2.6057000 -0.0149262 0.2551310 0.0433520 0.9658190
3.566667 0.1901740 0.0030513 -2.6068900 -0.0148861 0.2552730 0.0428070 0.9658060
3.600000 0.2014970 0.0032761 -2.6085600 -0.0160640 0.2553120 0.0432181 0.9657590
3.633333 0.2095440 0.0026193 -2.6089900 -0.0167964 0.2544900 0.0441046 0.9659230
3.666667 0.2160680 0.0032017 -2.6101100 -0.0164534 0.2544060 0.0442058 0.9659460
3.700000 0.2199260 0.0060637 -2.6119600 -0.0159044 0.2548160 0.0447371 0.9658230
3.733333 0.2259100 0.0064862 -2.6123400 -0.0169017 0.2544790 0.0447455 0.9658950
3.766667 0.2331270 0.0065088 -2.6129200 -0.0178812 0.2544730 0.0452603 0.9658550
3.800000 0.2397530 0.0078509 -2.6138400 -0.0184824 0.2550650 0.0458692 0.9656580
3.833333 0.2449340 0.0098629 -2.6150200 -0.0190265 0.2563570 0.0461444 0.9652930
3.866667 0.2497870 0.0115750 -2.6159100 -0.0202732 0.2578450 0.0471452 0.9648220
3.900000 0.2558260 0.0116072 -2.6162500 -0.0226855 0.2590230 0.0483388 0.9643940
3.933333 0.2651160 0.0112104 -2.6150600 -0.0245755 0.2597800 0.0498937 0.9640650
3.966667 0.2725250 0.0099330 -2.6142100 -0.0254481 0.2608350 0.0499916 0.9637520
4.000000 0.2780960 0.0107660 -2.6154000 -0.0254501 0.2627980 0.0491595 0.9632610
4.033333 0.2839470 0.0102878 -2.6159300 -0.0265588 0.2652340 0.0482707 0.9626090
4.066667 0.2913060 0.0086005 -2.6148100 -0.0277359 0.2675780 0.0483680 0.9619220
4.100000 0.2953850 0.0075917 -2.6129200 -0.0274708 0.2707590 0.0481480 0.9610500
4.133333 0.2975240 0.0077825 -2.6122500 -0.0269071 0.2739850 0.0474131 0.9601880
4.166667 0.3036030 0.0077348 -2.6112500 -0.0277314 0.2755930 0.0479244 0.9596790
4.200000 0.3102720 0.0078368 -2.6099300 -0.0282888 0.2769560 0.0482574 0.9592530
4.233333 0.3180310 0.0069590 -2.6078100 -0.0288275 0.2784160 0.0490167 0.9587760
4.266667 0.3252890 0.0061316 -2.6055900 -0.0280292 0.2801410 0.0496976 0.9582620
4.300000 0.3295980 0.0055726 -2.6041400 -0.0268727 0.2823220 0.0493983 0.9576700
4.333333 0.3339560 0.0060539 -2.6022100 -0.0261233 0.2841280 0.0478158 0.9572370
4.366667 0.3410240 0.0056267 -2.5997600 -0.0261104 0.2852290 0.0473287 0.9569340
4.400000 0.3479720 0.0049791 -2.5968900 -0.0256071 0.2862380 0.0472535 0.9566500
4.433333 0.3536600 0.0051513 -2.5952500 -0.0251073 0.2876250 0.0454899 0.9563330
4.466667 0.3600390 0.0042431 -2.5930900 -0.0264537 0.2892010 0.0442794 0.9558780
4.500000 0.3693470 -0.0007238 -2.5889900 -0.0277714 0.2898580 0.0457626 0.9555710
4.533333 0.3726960 -0.0034127 -2.5865300 -0.0258472 0.2908900 0.0448635 0.9553550
4.566667 0.3751240 -0.0027225 -2.5846900 -0.0243649 0.2913490 0.0430375 0.9553370
4.600000 0.3810410 -0.0032306 -2.5813400 -0.0244921 0.2907840 0.0429349 0.9555110
4.633333 0.3866180 -0.0040693 -2.5778800 -0.0242813 0.2904100 0.0432521 0.9556160
4.666667 0.3924060 -0.0046575 -2.5746000 -0.0239040 0.2897470 0.0431261 0.9558320
4.700000 0.3997230 -0.0049553 -2.5710800 -0.0233726 0.2889270 0.0427085 0.9561120
4.733333 0.4056900 -0.0063837 -2.5675600 -0.0229675 0.2889700 0.0420542 0.9561380
4.766667 0.4096780 -0.0064719 -2.5646300 -0.0225131 0.2891990 0.0406597 0.9561400
4.800000 0.4149850 -0.0068700 -2.5610900 -0.0232057 0.2889500 0.0401753 0.9562190
4.833333 0.4214610 -0.0079081 -2.5569500 -0.0236752 0.2886510 0.0405450 0.9562820
4.866667 0.4277380 -0.0105472 -2.5528200 -0.0234921 0.2878490 0.0404608 0.9565320
4.900000 0.4305860 -0.0103765 -2.5497000 -0.0224392 0.2878790 0.0389433 0.9566110
4.933333 0.4344730 -0.0099957 -2.5467500 -0.0225069 0.2873460 0.0385858 0.9567850
4.966667 0.4397700 -0.0121140 -2.5426300 -0.0237012 0.2860810 0.0397349 0.9570880
5.000000 0.4450670 -0.0134323 -2.5394000 -0.0239682 0.2846970 0.0406233 0.9574570
5.033333 0.4538920 -0.0130401 -2.5332300 -0.0238035 0.2833710 0.0417815 0.9578040
5.066667 0.4590790 -0.0135882 -2.5296100 -0.0234227 0.2827680 0.0432032 0.9579280
