#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1557272808.983353 -0.0357965 0.0147625 0.1796321 0.9908732 -0.0032167 0.1346832 -0.0045297
1557272809.016673 -0.0352119 0.0145769 0.1794726 0.9908937 -0.0028892 0.1345374 -0.0045889
1557272809.049993 -0.0335037 0.0132055 0.1778665 0.9909206 -0.0032968 0.1343183 -0.0049022
1557272809.083313 -0.0356649 0.0134602 0.1774513 0.9908469 -0.0030739 0.1348716 -0.0047502
1557272809.116633 -0.0351760 0.0150982 0.1779681 0.9908489 -0.0029815 0.1348707 -0.0044164
1557272809.149953 -0.0347437 0.0145552 0.1786223 0.9908863 -0.0037814 0.1345745 -0.0044332
1557272809.183273 -0.0350575 0.0140775 0.1768140 0.9908425 -0.0033295 0.1349058 -0.0045326
1557272809.216593 -0.0348612 0.0137457 0.1769306 0.9908596 -0.0031663 0.1347820 -0.0045819
1557272809.249913 -0.0340641 0.0154254 0.1795651 0.9909047 -0.0034734 0.1344526 -0.0042813
1557272809.283233 -0.0344966 0.0144535 0.1802073 0.9909007 -0.0034840 0.1344777 -0.0044045
1557272809.316553 -0.0347952 0.0151667 0.1789072 0.9908873 -0.0033561 0.1345852 -0.0042250
1557272809.349873 -0.0344134 0.0145808 0.1781981 0.9908860 -0.0033505 0.1345917 -0.0043280
1557272809.383193 -0.0344893 0.0142171 0.1779477 0.9908921 -0.0031320 0.1345469 -0.0044980
1557272809.416513 -0.0354410 0.0142184 0.1774749 0.9908437 -0.0032712 0.1349002 -0.0044793
1557272809.449833 -0.0356528 0.0148839 0.1782913 0.9908389 -0.0027760 0.1349484 -0.0044187
1557272809.483153 -0.0358579 0.0135613 0.1773134 0.9908320 -0.0030607 0.1349784 -0.0048328
1557272809.516473 -0.0344051 0.0159374 0.1794387 0.9908964 -0.0031573 0.1345279 -0.0040754
1557272809.549793 -0.0346262 0.0142509 0.1781043 0.9908953 -0.0032336 0.1345193 -0.0045343
1557272809.583113 -0.0339902 0.0154028 0.1792886 0.9909081 -0.0032532 0.1344305 -0.0043429
1557272809.616433 -0.0342789 0.0148094 0.1787859 0.9908892 -0.0031410 0.1345700 -0.0044336
1557272809.649753 -0.0347729 0.0162226 0.1789638 0.9909068 -0.0033361 0.1344522 -0.0038951
1557272809.683073 -0.0345562 0.0161609 0.1804308 0.9909004 -0.0031384 0.1344988 -0.0040733
1557272809.716393 -0.0353235 0.0154848 0.1783196 0.9908611 -0.0029776 0.1347858 -0.0042625
1557272809.749713 -0.0340154 0.0154705 0.1784579 0.9909024 -0.0032926 0.1344753 -0.0042291
1557272809.783033 -0.0347556 0.0146428 0.1784755 0.9908891 -0.0033390 0.1345655 -0.0044423
1557272809.816353 -0.0353245 0.0136847 0.1771055 0.9908331 -0.0031376 0.1349720 -0.0047449
1557272809.849673 -0.0344734 0.0144048 0.1770577 0.9909007 -0.0032906 0.1344801 -0.0044815
1557272809.882993 -0.0348873 0.0145309 0.1791325 0.9908949 -0.0032369 0.1345251 -0.0044575
1557272809.916303 -0.0355598 0.0144503 0.1778316 0.9908423 -0.0029324 0.1349198 -0.0044323
1557272809.949623 -0.0342009 0.0139797 0.1777175 0.9908944 -0.0031276 0.1345274 -0.0045775
1557272809.982943 -0.0344470 0.0140790 0.1774062 0.9908954 -0.0032793 0.1345184 -0.0045148
1557272810.016263 -0.0344435 0.0137948 0.1772895 0.9908918 -0.0031954 0.1345451 -0.0045741
1557272810.049583 -0.0342949 0.0141691 0.1771875 0.9908921 -0.0033974 0.1345411 -0.0044828
1557272810.082903 -0.0346068 0.0140786 0.1775744 0.9908866 -0.0033162 0.1345781 -0.0046413
1557272810.116223 -0.0345919 0.0142154 0.1774358 0.9908907 -0.0033953 0.1345481 -0.0045582
1557272810.149543 -0.0345550 0.0139535 0.1774883 0.9908800 -0.0033449 0.1346267 -0.0046197
1557272810.182863 -0.0344840 0.0141581 0.1776031 0.9908872 -0.0034812 0.1345720 -0.0045511
1557272810.216183 -0.0344736 0.0143073 0.1777028 0.9909028 -0.0035233 0.1344570 -0.0045427
1557272810.249503 -0.0345073 0.0143239 0.1774989 0.9908985 -0.0033720 0.1344925 -0.0045230
1557272810.282823 -0.0343254 0.0142825 0.1776893 0.9909051 -0.0035044 0.1344393 -0.0045598
1557272810.316143 -0.0345439 0.0145070 0.1777793 0.9909057 -0.0035442 0.1344346 -0.0045383
1557272810.349463 -0.0344494 0.0143218 0.1776225 0.9909089 -0.0034020 0.1344135 -0.0045814
1557272810.382783 -0.0342926 0.0146025 0.1775980 0.9909104 -0.0035451 0.1344034 -0.0044528
1557272810.416103 -0.0345220 0.0148033 0.1778220 0.9909086 -0.0035580 0.1344179 -0.0043886
1557272810.449423 -0.0345823 0.0144954 0.1775680 0.9908942 -0.0033656 0.1345247 -0.0045164
1557272810.482743 -0.0343478 0.0144166 0.1777673 0.9909096 -0.0035222 0.1344072 -0.0045141
1557272810.516063 -0.0344843 0.0143362 0.1776260 0.9909049 -0.0033944 0.1344444 -0.0045348
1557272810.549383 -0.0343519 0.0141108 0.1777123 0.9909099 -0.0034812 0.1343997 -0.0047013
1557272810.582703 -0.0343287 0.0142982 0.1777990 0.9909115 -0.0036230 0.1343848 -0.0046858
