#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520531829.243710 0.7193339 -0.2694760 1.2005952 -0.0394012 -0.6908754 0.7218886 0.0039568
1520531829.252043 0.7192798 -0.2694669 1.2011297 -0.0405901 -0.6908639 0.7218367 0.0033501
1520531829.260377 0.7192012 -0.2697216 1.2017672 -0.0417833 -0.6902375 0.7223703 0.0027274
1520531829.268710 0.7190362 -0.2698109 1.2022719 -0.0431646 -0.6902763 0.7222534 0.0023442
1520531829.277044 0.7188078 -0.2700113 1.2028724 -0.0442433 -0.6898331 0.7226120 0.0021744
1520531829.285377 0.7183629 -0.2701866 1.2033224 -0.0457378 -0.6899993 0.7223590 0.0025409
1520531829.293710 0.7180833 -0.2705142 1.2039349 -0.0471115 -0.6897279 0.7225294 0.0026995
1520531829.302043 0.7175905 -0.2709132 1.2045043 -0.0486841 -0.6894928 0.7226473 0.0032204
1520531829.310377 0.7169824 -0.2714005 1.2050475 -0.0499340 -0.6891033 0.7229297 0.0039843
1520531829.318710 0.7164559 -0.2719082 1.2055882 -0.0515103 -0.6887820 0.7231221 0.0045266
1520531829.327043 0.7160215 -0.2723799 1.2061510 -0.0529579 -0.6884528 0.7233284 0.0049238
1520531829.335377 0.7155072 -0.2728440 1.2066187 -0.0542087 -0.6881678 0.7235030 0.0054755
1520531829.343709 0.7152309 -0.2733194 1.2071658 -0.0554750 -0.6879206 0.7236398 0.0057634
1520531829.352044 0.7150695 -0.2736326 1.2076792 -0.0565190 -0.6877202 0.7237503 0.0056603
1520531829.360377 0.7148362 -0.2739132 1.2080984 -0.0572963 -0.6876416 0.7237634 0.0057251
1520531829.368710 0.7145302 -0.2741032 1.2083642 -0.0584486 -0.6878473 0.7234742 0.0059088
1520531829.377043 0.7145480 -0.2741955 1.2087688 -0.0591946 -0.6880641 0.7232104 0.0055144
1520531829.385377 0.7144702 -0.2743114 1.2090933 -0.0595772 -0.6883063 0.7229505 0.0052534
1520531829.393710 0.7144436 -0.2744205 1.2094497 -0.0600431 -0.6884863 0.7227439 0.0047615
1520531829.402044 0.7144332 -0.2744369 1.2097243 -0.0605479 -0.6889028 0.7223080 0.0042502
1520531829.410377 0.7143981 -0.2745056 1.2101025 -0.0611111 -0.6891467 0.7220311 0.0036515
1520531829.418710 0.7143888 -0.2747117 1.2106315 -0.0610764 -0.6890239 0.7221544 0.0029550
1520531829.427044 0.7143959 -0.2745573 1.2109342 -0.0615579 -0.6897427 0.7214295 0.0022625
1520531829.435377 0.7143138 -0.2745334 1.2112162 -0.0618507 -0.6905105 0.7206708 0.0018508
1520531829.443710 0.7143452 -0.2747084 1.2117335 -0.0621438 -0.6903313 0.7208190 0.0008315
1520531829.452043 0.7143642 -0.2746819 1.2121624 0.0627005 0.6907189 -0.7203999 0.0000544
1520531829.460377 0.7143504 -0.2746324 1.2125098 0.0630329 0.6912625 -0.7198489 0.0007418
1520531829.468710 0.7143148 -0.2745631 1.2127460 0.0633470 0.6919195 -0.7191890 0.0013043
1520531829.477044 0.7142980 -0.2745685 1.2130052 0.0636796 0.6924896 -0.7186100 0.0016720
1520531829.485377 0.7143469 -0.2744900 1.2132569 0.0638986 0.6931979 -0.7179058 0.0022437
1520531829.493710 0.7143820 -0.2744671 1.2134389 0.0641435 0.6937774 -0.7173222 0.0027238
1520531829.502043 0.7144672 -0.2743942 1.2135147 0.0641090 0.6945188 -0.7166056 0.0031584
1520531829.510376 0.7144297 -0.2742327 1.2134431 0.0643972 0.6955061 -0.7156213 0.0032361
1520531829.518710 0.7146049 -0.2742499 1.2135357 0.0636738 0.6959131 -0.7152876 0.0037692
1520531829.527044 0.7144713 -0.2737124 1.2131384 0.0630496 0.6972153 -0.7140732 0.0038757
1520531829.535377 0.7148008 -0.2736341 1.2132317 0.0626974 0.6975976 -0.7137260 0.0046771
1520531829.543710 0.7150572 -0.2735962 1.2132922 0.0623291 0.6979500 -0.7134095 0.0052760
1520531829.552044 0.7153223 -0.2735462 1.2133226 0.0618778 0.6983420 -0.7130603 0.0058844
1520531829.560377 0.7156070 -0.2736027 1.2135341 0.0622697 0.6985378 -0.7128313 0.0062446
1520531829.568710 0.7158330 -0.2736006 1.2136377 0.0622616 0.6985673 -0.7127984 0.0067554
1520531829.577043 0.7160941 -0.2736601 1.2138449 0.0620149 0.6983987 -0.7129806 0.0072182
1520531829.585377 0.7163204 -0.2737074 1.2140424 0.0619039 0.6981264 -0.7132528 0.0076087
1520531829.593710 0.7165681 -0.2737506 1.2142713 0.0617411 0.6979012 -0.7134834 0.0079601
1520531829.602043 0.7171289 -0.2743562 1.2150790 0.0625305 0.6964093 -0.7148605 0.0088645
1520531829.610377 0.7173377 -0.2743630 1.2152809 0.0624470 0.6962002 -0.7150681 0.0091231
1520531829.618710 0.7175099 -0.2744512 1.2156424 0.0625789 0.6956947 -0.7155461 0.0093026
1520531829.627043 0.7177166 -0.2747719 1.2160957 0.0626168 0.6947888 -0.7164196 0.0095172
1520531829.635377 0.7178877 -0.2749858 1.2165573 0.0626529 0.6940172 -0.7171623 0.0096406
1520531829.643709 0.7178941 -0.2751689 1.2168857 0.0626522 0.6935805 -0.7175893 0.0092933
1520531829.652044 0.7180186 -0.2754884 1.2173221 0.0627805 0.6926204 -0.7185059 0.0092091
1520531829.660377 0.7181312 -0.2756652 1.2176643 0.0627339 0.6920101 -0.7191013 0.0089255
1520531829.668710 0.7183054 -0.2760744 1.2180930 0.0628052 0.6908376 -0.7202220 0.0089037
1520531829.677043 0.7184299 -0.2762008 1.2183339 0.0627792 0.6904545 -0.7205957 0.0085516
1520531829.685377 0.7186290 -0.2764571 1.2186696 0.0628438 0.6898352 -0.7211860 0.0082976
1520531829.693710 0.7189074 -0.2768440 1.2190964 0.0630562 0.6888954 -0.7220642 0.0083849
1520531829.702043 0.7193177 -0.2769859 1.2194701 0.0637416 0.6885598 -0.7223258 0.0082382
1520531829.710377 0.7194644 -0.2772629 1.2197559 0.0633164 0.6879420 -0.7229528 0.0081365
1520531829.718710 0.7196726 -0.2775530 1.2200599 0.0638696 0.6873141 -0.7235023 0.0080262
1520531829.727044 0.7198977 -0.2777746 1.2202765 0.0640116 0.6870479 -0.7237435 0.0079389
1520531829.735377 0.7200624 -0.2780113 1.2204707 0.0632053 0.6867033 -0.7241396 0.0080949
1520531829.743710 0.7202713 -0.2781569 1.2205654 0.0631306 0.6866944 -0.7241555 0.0080147
1520531829.752043 0.7205518 -0.2782311 1.2205773 0.0629746 0.6870357 -0.7238459 0.0079585
1520531829.760377 0.7208863 -0.2782546 1.2205799 0.0629972 0.6875063 -0.7233947 0.0081560
1520531829.768710 0.7211629 -0.2782646 1.2205686 0.0629917 0.6878421 -0.7230745 0.0082799
1520531829.777044 0.7213860 -0.2782670 1.2204825 0.0625557 0.6883784 -0.7226013 0.0083252
