#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520616724.378862 0.5352152 -0.5015640 1.2858649 -0.0169742 0.0149696 -0.0049566 0.9997316
1520616724.387195 0.5349826 -0.5013066 1.2862392 -0.0180990 0.0145834 -0.0040041 0.9997218
1520616724.395528 0.5346886 -0.5013479 1.2864995 -0.0169024 0.0136545 -0.0055242 0.9997486
1520616724.403861 0.5345876 -0.5012680 1.2869625 -0.0178504 0.0127011 -0.0048488 0.9997482
1520616724.412195 0.5344377 -0.5011405 1.2872495 -0.0169780 0.0118925 -0.0053828 0.9997706
1520616724.420528 0.5342945 -0.5008796 1.2875803 -0.0171665 0.0114083 -0.0043527 0.9997781
1520616724.428862 0.5344585 -0.5011540 1.2882621 -0.0174797 0.0093565 -0.0056472 0.9997875
1520616724.437195 0.5341075 -0.5007606 1.2884752 -0.0175596 0.0092982 -0.0051801 0.9997892
1520616724.445528 0.5338329 -0.5005239 1.2886689 -0.0169783 0.0092853 -0.0048439 0.9998010
1520616724.453862 0.5335190 -0.5003945 1.2888700 -0.0162685 0.0091239 -0.0050435 0.9998133
1520616724.462195 0.5333008 -0.5001955 1.2891321 -0.0164409 0.0088044 -0.0041449 0.9998175
1520616724.470528 0.5330408 -0.4999727 1.2894689 -0.0165657 0.0085398 -0.0032233 0.9998211
1520616724.478861 0.5328568 -0.5002023 1.2898297 -0.0162793 0.0068037 -0.0047707 0.9998330
1520616724.487195 0.5324551 -0.5000120 1.2901724 -0.0161622 0.0064069 -0.0038294 0.9998415
1520616724.495528 0.5321363 -0.4999454 1.2904737 -0.0153361 0.0053941 -0.0048720 0.9998560
1520616724.503862 0.5317504 -0.4998056 1.2908267 -0.0159909 0.0045933 -0.0039819 0.9998537
1520616724.512195 0.5315106 -0.4998599 1.2911689 -0.0152547 0.0036621 -0.0052212 0.9998633
1520616724.520528 0.5309133 -0.4996925 1.2914427 -0.0162855 0.0041156 -0.0040907 0.9998505
1520616724.528861 0.5305146 -0.4997250 1.2917135 -0.0152822 0.0033413 -0.0060224 0.9998595
1520616724.537194 0.5300784 -0.4998104 1.2920864 -0.0158293 0.0037165 -0.0058616 0.9998506
1520616724.545528 0.5299724 -0.5001276 1.2924374 -0.0150909 0.0025066 -0.0084462 0.9998473
1520616724.553862 0.5296340 -0.5001952 1.2927450 -0.0156962 0.0021924 -0.0088444 0.9998353
1520616724.562195 0.5290638 -0.5002345 1.2929444 -0.0163483 0.0016131 -0.0098514 0.9998165
1520616724.570528 0.5291513 -0.5006179 1.2933736 -0.0158064 0.0013793 -0.0111291 0.9998122
1520616724.578862 0.5288654 -0.5006852 1.2936749 -0.0162464 0.0010961 -0.0114919 0.9998014
1520616724.587195 0.5287222 -0.5008058 1.2938381 -0.0166853 0.0003160 -0.0125378 0.9997821
1520616724.595528 0.5285129 -0.5008746 1.2941055 -0.0171363 0.0003227 -0.0127869 0.9997713
1520616724.603861 0.5284378 -0.5010346 1.2942597 -0.0166071 0.0002341 -0.0142848 0.9997600
1520616724.612195 0.5281630 -0.5010791 1.2943912 -0.0167303 0.0010614 -0.0145053 0.9997543
1520616724.620528 0.5276942 -0.5011287 1.2943049 -0.0168540 0.0011183 -0.0160285 0.9997289
1520616724.628862 0.5278205 -0.5015645 1.2947017 -0.0166566 0.0010984 -0.0174453 0.9997085
1520616724.637195 0.5275540 -0.5016852 1.2948521 -0.0173046 0.0012305 -0.0184397 0.9996795
1520616724.645528 0.5273386 -0.5018196 1.2950385 -0.0177406 0.0012481 -0.0189934 0.9996614
1520616724.653861 0.5271792 -0.5019486 1.2952199 -0.0180857 0.0009496 -0.0198448 0.9996390
