#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520500646.910717 -0.6462933 -0.1764072 1.1101516 -0.0914718 -0.6818353 0.7228516 0.0649540
1520500646.919051 -0.6516839 -0.1771109 1.1099838 -0.0918754 -0.6808395 0.7237812 0.0644768
1520500646.927384 -0.6574087 -0.1771938 1.1096021 -0.0910461 -0.6808035 0.7239417 0.0642309
1520500646.935718 -0.6633363 -0.1780205 1.1097521 -0.0906274 -0.6791783 0.7255215 0.0642032
1520500646.944051 -0.6686339 -0.1775574 1.1089459 -0.0920867 -0.6804567 0.7241548 0.0640198
1520500646.952384 -0.6741930 -0.1776016 1.1083639 -0.0928448 -0.6804866 0.7240651 0.0636204
1520500646.960718 -0.6798166 -0.1777192 1.1078236 -0.0924650 -0.6802814 0.7243329 0.0633181
1520500646.969050 -0.6852438 -0.1778172 1.1073643 -0.0924638 -0.6801309 0.7245505 0.0624415
1520500646.977385 -0.6908423 -0.1781220 1.1069134 -0.0915460 -0.6792665 0.7255721 0.0613308
1520500646.985718 -0.6964341 -0.1779811 1.1063223 -0.0917690 -0.6791516 0.7257283 0.0604148
1520500646.994051 -0.7018557 -0.1779455 1.1055340 -0.0920926 -0.6795474 0.7253604 0.0598887
1520500647.002383 -0.7074894 -0.1778873 1.1048930 -0.0911043 -0.6791710 0.7259299 0.0587586
1520500647.010718 -0.7129718 -0.1778638 1.1040385 -0.0900735 -0.6792701 0.7260614 0.0575651
1520500647.019051 -0.7184857 -0.1778262 1.1032342 -0.0892044 -0.6793718 0.7261579 0.0564917
1520500647.027385 -0.7241938 -0.1777509 1.1021469 -0.0886290 -0.6797757 0.7258624 0.0563352
1520500647.035717 -0.7297955 -0.1775420 1.1011541 -0.0880625 -0.6801681 0.7256239 0.0555534
1520500647.044050 -0.7354150 -0.1774242 1.0999675 -0.0877369 -0.6809902 0.7249112 0.0553020
1520500647.052384 -0.7412478 -0.1773709 1.0990578 -0.0861207 -0.6806658 0.7254977 0.0541331
1520500647.060718 -0.7468281 -0.1771961 1.0979863 -0.0854276 -0.6810940 0.7252553 0.0530836
1520500647.069051 -0.7523766 -0.1768868 1.0968906 -0.0854541 -0.6818174 0.7246338 0.0522339
