#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520500646.910717 -0.6830486 -0.1185347 1.1767646 -0.0103963 -0.0057459 -0.1067103 0.9942192
1520500646.919051 -0.6885060 -0.1190519 1.1763974 -0.0117615 -0.0063628 -0.1066681 0.9942048
1520500646.927384 -0.6942581 -0.1191761 1.1760367 -0.0119086 -0.0059355 -0.1059168 0.9942860
1520500646.935718 -0.7001451 -0.1197264 1.1759669 -0.0141784 -0.0056451 -0.1056397 0.9942874
1520500646.944051 -0.7055301 -0.1194334 1.1752614 -0.0123007 -0.0068303 -0.1064943 0.9942138
1520500646.952384 -0.7111728 -0.1194603 1.1746178 -0.0122165 -0.0076538 -0.1067327 0.9941832
1520500646.960718 -0.7168375 -0.1195688 1.1740465 -0.0125570 -0.0075888 -0.1062563 0.9942305
1520500646.969050 -0.7224135 -0.1196692 1.1735059 -0.0128281 -0.0081953 -0.1056288 0.9942891
1520500646.977385 -0.7281687 -0.1198987 1.1729002 -0.0141814 -0.0083000 -0.1042119 0.9944194
1520500646.985718 -0.7339207 -0.1197582 1.1722187 -0.0143831 -0.0090956 -0.1037109 0.9944619
1520500646.994051 -0.7394484 -0.1197977 1.1714362 -0.0138474 -0.0096957 -0.1035494 0.9944807
1520500647.002383 -0.7452523 -0.1197590 1.1707151 -0.0145364 -0.0097655 -0.1020595 0.9946241
1520500647.010718 -0.7509260 -0.1198468 1.1698487 -0.0145803 -0.0098511 -0.1004849 0.9947830
1520500647.019051 -0.7566129 -0.1199094 1.1690327 -0.0145953 -0.0099699 -0.0991086 0.9949196
1520500647.027385 -0.7623472 -0.1199416 1.1680248 -0.0141061 -0.0096657 -0.0985885 0.9949814
1520500647.035717 -0.7680829 -0.1198612 1.1670668 -0.0136730 -0.0098018 -0.0976257 0.9950810
1520500647.044050 -0.7737583 -0.1199189 1.1660009 -0.0125926 -0.0097455 -0.0972023 0.9951373
1520500647.052384 -0.7797568 -0.1199301 1.1650510 -0.0132614 -0.0093902 -0.0952477 0.9953210
1520500647.060718 -0.7855151 -0.1199082 1.1640082 -0.0128044 -0.0096210 -0.0940039 0.9954430
1520500647.069051 -0.7912263 -0.1197629 1.1629591 -0.0118636 -0.0102331 -0.0933969 0.9955057
1520500647.077384 -0.7973901 -0.1197729 1.1618992 -0.0121533 -0.0097503 -0.0912433 0.9957067
1520500647.085718 -0.8034037 -0.1195976 1.1608652 -0.0118816 -0.0099404 -0.0900449 0.9958172
1520500647.094051 -0.8092746 -0.1195014 1.1598461 -0.0116600 -0.0102476 -0.0888569 0.9959234
1520500647.102385 -0.8151900 -0.1194233 1.1588608 -0.0111449 -0.0101402 -0.0874625 0.9960538
1520500647.110718 -0.8211164 -0.1192252 1.1578883 -0.0108923 -0.0108388 -0.0867346 0.9961129
1520500647.119051 -0.8271069 -0.1189589 1.1569726 -0.0107427 -0.0113377 -0.0850817 0.9962515
1520500647.127384 -0.8331389 -0.1188804 1.1561268 -0.0117711 -0.0118467 -0.0831370 0.9963982
1520500647.135717 -0.8392048 -0.1185516 1.1552561 -0.0115589 -0.0124154 -0.0815804 0.9965224
