#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520437769.098025 0.4910477 0.0933083 1.1791576 0.0091170 0.0005039 0.0010389 0.9999578
1520437769.106358 0.4910522 0.0932280 1.1791618 0.0089959 0.0006890 0.0008427 0.9999589
1520437769.114690 0.4910473 0.0931362 1.1791480 0.0089133 0.0008936 0.0006762 0.9999596
1520437769.123024 0.4909859 0.0930281 1.1791954 0.0086295 0.0011730 0.0004826 0.9999620
1520437769.131357 0.4909423 0.0929551 1.1791486 0.0087928 0.0011503 0.0001456 0.9999607
1520437769.139691 0.4908702 0.0928175 1.1791255 0.0088384 0.0011634 -0.0002679 0.9999602
1520437769.148023 0.4905003 0.0924090 1.1792966 0.0079662 0.0022831 -0.0006006 0.9999655
1520437769.156358 0.4903815 0.0922048 1.1792496 0.0079788 0.0023579 -0.0013188 0.9999645
1520437769.164690 0.4903167 0.0919681 1.1791793 0.0082385 0.0025885 -0.0017830 0.9999611
1520437769.173025 0.4902536 0.0917443 1.1790888 0.0083401 0.0026356 -0.0025935 0.9999584
1520437769.181357 0.4902408 0.0915523 1.1789821 0.0087500 0.0029360 -0.0027543 0.9999536
1520437769.189690 0.4902371 0.0914493 1.1787994 0.0093453 0.0030387 -0.0033049 0.9999463
1520437769.198024 0.4902908 0.0912995 1.1786729 0.0096544 0.0030692 -0.0035905 0.9999422
1520437769.206358 0.4903755 0.0911861 1.1785562 0.0100014 0.0030508 -0.0037320 0.9999384
1520437769.214690 0.4904406 0.0911015 1.1784089 0.0103997 0.0028599 -0.0039765 0.9999339
1520437769.223024 0.4905228 0.0909848 1.1783277 0.0108557 0.0029805 -0.0040772 0.9999283
1520437769.231358 0.4905948 0.0908469 1.1782296 0.0109641 0.0026221 -0.0044206 0.9999267
1520437769.239691 0.4905925 0.0907123 1.1781589 0.0111499 0.0027466 -0.0046735 0.9999231
1520437769.248023 0.4905950 0.0905391 1.1780950 0.0112212 0.0027983 -0.0050908 0.9999202
1520437769.256357 0.4905903 0.0903589 1.1781007 0.0111616 0.0027969 -0.0054750 0.9999188
1520437769.264691 0.4906095 0.0901576 1.1780683 0.0109848 0.0027887 -0.0059174 0.9999183
1520437769.273024 0.4905969 0.0900109 1.1780532 0.0108554 0.0028310 -0.0063396 0.9999170
1520437769.281357 0.4906099 0.0898817 1.1780668 0.0106711 0.0029944 -0.0066411 0.9999165
1520437769.289690 0.4906450 0.0897712 1.1780837 0.0104053 0.0029418 -0.0068377 0.9999182
1520437769.298025 0.4906976 0.0897048 1.1781032 0.0101813 0.0028274 -0.0069878 0.9999198
1520437769.306358 0.4907429 0.0896232 1.1781404 0.0098275 0.0028342 -0.0069257 0.9999237
1520437769.314690 0.4906231 0.0893989 1.1782466 0.0089425 0.0029743 -0.0074213 0.9999281
1520437769.323024 0.4906923 0.0893343 1.1783029 0.0087498 0.0028074 -0.0073867 0.9999305
1520437769.331357 0.4907431 0.0892671 1.1783520 0.0086556 0.0025591 -0.0074628 0.9999314
1520437769.339691 0.4907780 0.0891802 1.1784244 0.0085558 0.0023592 -0.0075779 0.9999319
1520437769.348024 0.4908113 0.0890521 1.1784858 0.0085682 0.0020229 -0.0078412 0.9999305
1520437769.356358 0.4908144 0.0889391 1.1785471 0.0085937 0.0017612 -0.0080677 0.9999290
1520437769.364691 0.4908425 0.0887824 1.1786009 0.0087049 0.0014216 -0.0083965 0.9999258
1520437769.373024 0.4908650 0.0885757 1.1786654 0.0087863 0.0014609 -0.0083254 0.9999257
1520437769.381357 0.4908866 0.0884830 1.1786868 0.0085382 0.0008368 -0.0088398 0.9999241
1520437769.389690 0.4909193 0.0883939 1.1788036 0.0082419 0.0003816 -0.0090259 0.9999252
