#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520439642.041438 0.2251725 -0.1070268 1.0829021 0.0458470 0.7213905 -0.6906694 0.0216680
1520439642.049772 0.2245973 -0.1069190 1.0827017 0.0460701 0.7213688 -0.6906760 0.0217083
1520439642.058105 0.2239608 -0.1067510 1.0824567 0.0462436 0.7213492 -0.6906878 0.0216145
1520439642.066438 0.2233492 -0.1066576 1.0822143 0.0463134 0.7212571 -0.6907789 0.0216289
1520439642.074771 0.2225692 -0.1062680 1.0817746 0.0465851 0.7216892 -0.6903201 0.0212760
1520439642.083105 0.2219926 -0.1061121 1.0814540 0.0466556 0.7217783 -0.6902175 0.0214277
1520439642.091438 0.2213900 -0.1056814 1.0809735 0.0469844 0.7222443 -0.6897039 0.0215464
1520439642.099772 0.2207355 -0.1054976 1.0806010 0.0469709 0.7223793 -0.6895614 0.0216090
1520439642.108105 0.2200279 -0.1052863 1.0801877 0.0468863 0.7225997 -0.6893405 0.0214707
1520439642.116438 0.2192943 -0.1050540 1.0797425 0.0468059 0.7228214 -0.6891186 0.0213087
1520439642.124771 0.2185439 -0.1048190 1.0792392 0.0468311 0.7231672 -0.6887594 0.0211329
1520439642.133105 0.2179017 -0.1045221 1.0787658 0.0469262 0.7234613 -0.6884485 0.0209851
1520439642.141438 0.2171365 -0.1043361 1.0782856 0.0468557 0.7236437 -0.6882672 0.0207981
1520439642.149771 0.2163319 -0.1042314 1.0778128 0.0468572 0.7238559 -0.6880522 0.0205260
1520439642.158105 0.2154558 -0.1041716 1.0773763 0.0466787 0.7238755 -0.6880510 0.0202773
1520439642.166438 0.2146175 -0.1040143 1.0768836 0.0465514 0.7241460 -0.6877838 0.0199760
1520439642.174772 0.2138295 -0.1036920 1.0762684 0.0465890 0.7246239 -0.6872845 0.0197418
1520439642.183105 0.2129861 -0.1035016 1.0757235 0.0464686 0.7249632 -0.6869418 0.0194955
1520439642.191438 0.2121612 -0.1034376 1.0753107 0.0464151 0.7250356 -0.6868766 0.0192268
1520439642.199771 0.2112136 -0.1034627 1.0749165 0.0461664 0.7249602 -0.6869818 0.0189028
1520439642.208105 0.2103015 -0.1033740 1.0744212 0.0461701 0.7250613 -0.6868834 0.0185918
1520439642.216438 0.2094022 -0.1031992 1.0738594 0.0463620 0.7253515 -0.6865713 0.0183181
1520439642.224772 0.2084449 -0.1030688 1.0733447 0.0463001 0.7256844 -0.6862332 0.0179561
1520439642.233105 0.2073830 -0.1031386 1.0729554 0.0461046 0.7256273 -0.6863169 0.0175674
1520439642.241438 0.2060075 -0.1034847 1.0727647 0.0454347 0.7247858 -0.6872695 0.0167887
1520439642.249771 0.2053416 -0.1029463 1.0720029 0.0461888 0.7261129 -0.6858147 0.0168784
1520439642.258105 0.2043178 -0.1030140 1.0716321 0.0467129 0.7259648 -0.6859408 0.0166818
1520439642.266438 0.2032149 -0.1028028 1.0711234 0.0472529 0.7262717 -0.6855857 0.0163978
1520439642.274771 0.2021197 -0.1026646 1.0706227 0.0471434 0.7265364 -0.6853142 0.0163358
1520439642.283105 0.2009626 -0.1025585 1.0702318 0.0474595 0.7266727 -0.6851562 0.0159813
1520439642.291438 0.1999444 -0.1023741 1.0697633 0.0475050 0.7270509 -0.6847472 0.0161761
1520439642.299772 0.1988147 -0.1021921 1.0693397 0.0478801 0.7274034 -0.6843471 0.0161509
1520439642.308105 0.1975735 -0.1020404 1.0689328 0.0481272 0.7274913 -0.6842369 0.0161270
1520439642.316438 0.1964084 -0.1019198 1.0685687 0.0480261 0.7276327 -0.6840897 0.0162885
1520439642.324771 0.1951845 -0.1017375 1.0681934 0.0482593 0.7279013 -0.6837888 0.0162398
