#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520530731.382632 0.6565079 -0.4174869 1.1914368 -0.0204630 -0.6724130 0.7396753 0.0179594
1520530731.390966 0.6564849 -0.4172277 1.1913535 -0.0205832 -0.6729646 0.7391686 0.0180239
1520530731.399299 0.6569243 -0.4175154 1.1919508 -0.0214357 -0.6721708 0.7398884 0.0170886
1520530731.407632 0.6569230 -0.4170103 1.1918042 -0.0221231 -0.6733329 0.7388051 0.0173314
1520530731.415966 0.6570383 -0.4171792 1.1921423 -0.0218418 -0.6723775 0.7397029 0.0164637
1520530731.424299 0.6570754 -0.4172164 1.1923257 -0.0219091 -0.6720674 0.7399924 0.0160231
1520530731.432632 0.6572965 -0.4174444 1.1927878 -0.0230326 -0.6717372 0.7402682 0.0155454
1520530731.440965 0.6576571 -0.4171984 1.1930605 -0.0237865 -0.6721153 0.7399255 0.0143330
1520530731.449299 0.6576595 -0.4171551 1.1930379 -0.0246110 -0.6727638 0.7393033 0.0146232
1520530731.457632 0.6577253 -0.4171302 1.1931047 -0.0247837 -0.6729088 0.7391700 0.0143969
1520530731.465965 0.6579224 -0.4173780 1.1933389 -0.0252974 -0.6728218 0.7392394 0.0139959
1520530731.474299 0.6578496 -0.4169319 1.1931655 -0.0261993 -0.6738896 0.7382336 0.0140553
1520530731.482632 0.6577665 -0.4169839 1.1931463 -0.0271272 -0.6744179 0.7377162 0.0141249
1520530731.490966 0.6576102 -0.4170009 1.1929554 -0.0274644 -0.6747936 0.7373543 0.0144204
1520530731.499299 0.6575688 -0.4168542 1.1929077 -0.0281358 -0.6753696 0.7368112 0.0139130
1520530731.507632 0.6575252 -0.4174634 1.1930261 -0.0302608 -0.6757401 0.7363681 0.0148851
1520530731.515966 0.6578414 -0.4177179 1.1934593 -0.0302144 -0.6749237 0.7371442 0.0135451
1520530731.524299 0.6576860 -0.4174407 1.1931710 -0.0314682 -0.6761811 0.7359288 0.0140579
1520530731.532632 0.6579383 -0.4177291 1.1934416 -0.0322460 -0.6760702 0.7360123 0.0132348
1520530731.540966 0.6581293 -0.4176592 1.1935259 -0.0326139 -0.6763671 0.7357361 0.0125008
1520530731.549299 0.6580642 -0.4176730 1.1934379 -0.0331551 -0.6769158 0.7352092 0.0123780
1520530731.557632 0.6579106 -0.4175801 1.1931784 -0.0344472 -0.6778250 0.7343013 0.0129733
1520530731.565965 0.6580264 -0.4178488 1.1932635 -0.0345737 -0.6777892 0.7343394 0.0123305
1520530731.574299 0.6580642 -0.4179605 1.1932186 -0.0351802 -0.6779962 0.7341228 0.0121325
1520530731.582632 0.6580903 -0.4180421 1.1931138 -0.0349980 -0.6779986 0.7341281 0.0122047
1520530731.590965 0.6576087 -0.4181352 1.1928041 -0.0349155 -0.6782683 0.7338721 0.0128397
1520530731.599299 0.6579527 -0.4180038 1.1927876 -0.0351536 -0.6785191 0.7336475 0.0117221
1520530731.607632 0.6577947 -0.4178208 1.1925729 -0.0345462 -0.6787336 0.7334800 0.0115928
1520530731.615966 0.6578146 -0.4175951 1.1923863 -0.0343156 -0.6789130 0.7333251 0.0115681
1520530731.624299 0.6578032 -0.4182225 1.1927070 -0.0356406 -0.6781660 0.7339552 0.0114175
1520530731.632632 0.6579041 -0.4183393 1.1926164 -0.0361645 -0.6784372 0.7336758 0.0116158
1520530731.640966 0.6581699 -0.4182533 1.1926785 -0.0360156 -0.6783685 0.7337571 0.0109373
1520530731.649299 0.6580920 -0.4183058 1.1925140 -0.0360822 -0.6782093 0.7338999 0.0110036
1520530731.657632 0.6584180 -0.4184362 1.1925735 -0.0357316 -0.6778797 0.7342309 0.0103550
1520530731.665966 0.6584845 -0.4183290 1.1923279 -0.0355971 -0.6782749 0.7338693 0.0105782
1520530731.674299 0.6587422 -0.4181048 1.1923577 -0.0349103 -0.6778225 0.7343352 0.0094757
1520530731.682632 0.6588695 -0.4184027 1.1922587 -0.0349621 -0.6776529 0.7344797 0.0101861
1520530731.690965 0.6589789 -0.4187058 1.1924538 -0.0355393 -0.6769754 0.7350715 0.0105443
