#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520621015.527176 0.5798400 -0.3555221 1.3164279 -0.0039881 -0.0163407 -0.0284636 0.9994533
1520621015.535509 0.5794326 -0.3556899 1.3164342 -0.0048019 -0.0156374 -0.0293239 0.9994361
1520621015.543842 0.5794008 -0.3556706 1.3160742 -0.0046040 -0.0161264 -0.0294996 0.9994241
1520621015.552176 0.5791142 -0.3556774 1.3160283 -0.0051093 -0.0157142 -0.0304023 0.9994011
1520621015.560509 0.5790647 -0.3556185 1.3156379 -0.0049729 -0.0155755 -0.0293561 0.9994353
1520621015.568843 0.5787317 -0.3555987 1.3155310 -0.0054557 -0.0142121 -0.0287724 0.9994701
1520621015.577176 0.5788653 -0.3553992 1.3150285 -0.0045489 -0.0146028 -0.0280811 0.9994886
1520621015.585509 0.5786599 -0.3553298 1.3148539 -0.0044783 -0.0136682 -0.0274029 0.9995210
1520621015.593843 0.5788015 -0.3549751 1.3144227 -0.0042425 -0.0140336 -0.0253662 0.9995707
1520621015.602176 0.5786773 -0.3549398 1.3141584 -0.0037640 -0.0128671 -0.0251108 0.9995948
1520621015.610509 0.5787487 -0.3547962 1.3137766 -0.0023647 -0.0127284 -0.0250167 0.9996032
1520621015.618842 0.5787713 -0.3545870 1.3134030 -0.0014346 -0.0124748 -0.0245808 0.9996190
1520621015.627176 0.5787708 -0.3543892 1.3129804 -0.0003479 -0.0122481 -0.0238216 0.9996411
1520621015.635509 0.5789308 -0.3542449 1.3125757 0.0007294 -0.0121777 -0.0225901 0.9996704
1520621015.643843 0.5791683 -0.3538611 1.3121915 0.0013656 -0.0116261 -0.0201610 0.9997282
1520621015.652176 0.5793574 -0.3535592 1.3117160 0.0031624 -0.0113737 -0.0195182 0.9997398
1520621015.660509 0.5795052 -0.3531475 1.3111780 0.0052760 -0.0109666 -0.0185048 0.9997547
1520621015.668842 0.5796949 -0.3528917 1.3107301 0.0059994 -0.0112352 -0.0176707 0.9997627
1520621015.677176 0.5798755 -0.3524627 1.3102154 0.0077998 -0.0106576 -0.0164470 0.9997775
1520621015.685509 0.5801140 -0.3518687 1.3097897 0.0087156 -0.0105755 -0.0139441 0.9998089
1520621015.693843 0.5803296 -0.3515597 1.3094004 0.0099814 -0.0108186 -0.0129449 0.9998079
1520621015.702176 0.5804680 -0.3511807 1.3089811 0.0113216 -0.0111118 -0.0123596 0.9997978
1520621015.710509 0.5803198 -0.3506548 1.3083220 0.0138232 -0.0104303 -0.0120713 0.9997772
1520621015.718843 0.5802566 -0.3501489 1.3078252 0.0154164 -0.0104813 -0.0116117 0.9997588
1520621015.727176 0.5804433 -0.3500987 1.3075097 0.0170174 -0.0112213 -0.0128465 0.9997097
1520621015.735509 0.5806055 -0.3497211 1.3072838 0.0179530 -0.0115736 -0.0111846 0.9997093
1520621015.743842 0.5808456 -0.3494951 1.3070629 0.0188934 -0.0120172 -0.0109782 0.9996890
1520621015.752176 0.5809311 -0.3491903 1.3068458 0.0197010 -0.0130399 -0.0114989 0.9996547
1520621015.760509 0.5810548 -0.3489112 1.3066646 0.0202322 -0.0137622 -0.0111389 0.9996385
1520621015.768843 0.5811612 -0.3486077 1.3065035 0.0203766 -0.0144151 -0.0101233 0.9996372
1520621015.777176 0.5812863 -0.3483336 1.3063591 0.0207555 -0.0152298 -0.0098319 0.9996202
1520621015.785509 0.5815690 -0.3480103 1.3060636 0.0222870 -0.0167235 -0.0104613 0.9995570
1520621015.793842 0.5815628 -0.3478469 1.3061483 0.0219670 -0.0168622 -0.0099776 0.9995667
1520621015.802176 0.5816665 -0.3476787 1.3061830 0.0213475 -0.0181393 -0.0102489 0.9995550
1520621015.810509 0.5818809 -0.3475121 1.3061093 0.0216756 -0.0187856 -0.0097208 0.9995413
1520621015.818843 0.5820690 -0.3470928 1.3058650 0.0225226 -0.0201389 -0.0100089 0.9994934
1520621015.827176 0.5819543 -0.3468888 1.3060589 0.0215922 -0.0203177 -0.0095445 0.9995148
1520621015.835509 0.5820404 -0.3468050 1.3059551 0.0215948 -0.0206315 -0.0105526 0.9994982
1520621015.843843 0.5821363 -0.3466205 1.3059282 0.0212859 -0.0210618 -0.0104616 0.9994968
1520621015.852176 0.5822373 -0.3464592 1.3058936 0.0209208 -0.0214500 -0.0104686 0.9994962
1520621015.860509 0.5824665 -0.3462632 1.3057087 0.0211136 -0.0223873 -0.0105062 0.9994712
1520621015.868842 0.5826313 -0.3462969 1.3059836 0.0201360 -0.0224368 -0.0105752 0.9994895
1520621015.877176 0.5826706 -0.3462396 1.3059287 0.0196207 -0.0226819 -0.0107677 0.9994922
1520621015.885509 0.5827215 -0.3462581 1.3059374 0.0190206 -0.0228765 -0.0108928 0.9994980
1520621015.893843 0.5826894 -0.3462327 1.3059559 0.0182395 -0.0231535 -0.0114533 0.9994999
1520621015.902176 0.5825833 -0.3463094 1.3059634 0.0166987 -0.0232403 -0.0111335 0.9995284
1520621015.910509 0.5825566 -0.3463483 1.3059963 0.0159098 -0.0236474 -0.0116515 0.9995258
1520621015.918842 0.5826228 -0.3463361 1.3060697 0.0155655 -0.0241191 -0.0127364 0.9995068
1520621015.927176 0.5829243 -0.3466649 1.3063678 0.0137320 -0.0254449 -0.0132115 0.9994946
1520621015.935509 0.5829239 -0.3466315 1.3063896 0.0129738 -0.0256461 -0.0136903 0.9994931
1520621015.943843 0.5829977 -0.3465786 1.3063582 0.0126213 -0.0256975 -0.0135671 0.9994980
1520621015.952176 0.5830418 -0.3464875 1.3063345 0.0120407 -0.0260895 -0.0139651 0.9994895
1520621015.960509 0.5831237 -0.3463655 1.3062715 0.0120211 -0.0258240 -0.0136141 0.9995015
1520621015.968843 0.5832851 -0.3462429 1.3062260 0.0117869 -0.0262605 -0.0138170 0.9994901
1520621015.977176 0.5831674 -0.3459160 1.3058856 0.0125388 -0.0249086 -0.0124324 0.9995338
1520621015.985509 0.5833117 -0.3456819 1.3057849 0.0123622 -0.0252339 -0.0123321 0.9995291
1520621015.993842 0.5834875 -0.3454742 1.3056620 0.0123631 -0.0252452 -0.0119073 0.9995339
1520621016.002176 0.5837503 -0.3452824 1.3055657 0.0127775 -0.0254103 -0.0119181 0.9995244
1520621016.010509 0.5839418 -0.3450641 1.3053995 0.0131758 -0.0253457 -0.0116555 0.9995240
1520621016.018843 0.5841681 -0.3448537 1.3052050 0.0137284 -0.0251437 -0.0114696 0.9995238
1520621016.027176 0.5844164 -0.3446504 1.3050184 0.0141675 -0.0249585 -0.0111301 0.9995261
1520621016.035509 0.5846266 -0.3444447 1.3048169 0.0145067 -0.0248023 -0.0107559 0.9995292
1520621016.043842 0.5849027 -0.3440212 1.3043889 0.0158532 -0.0252636 -0.0107969 0.9994968
1520621016.052176 0.5849904 -0.3439996 1.3043530 0.0154303 -0.0241280 -0.0100981 0.9995388
1520621016.060509 0.5851948 -0.3438681 1.3041426 0.0160805 -0.0240141 -0.0102091 0.9995301
1520621016.068843 0.5855118 -0.3436252 1.3037661 0.0171605 -0.0243506 -0.0102091 0.9995040
1520621016.077176 0.5855531 -0.3435836 1.3036812 0.0169497 -0.0236077 -0.0103815 0.9995237
1520621016.085509 0.5857443 -0.3434442 1.3034443 0.0174785 -0.0231983 -0.0102518 0.9995255
1520621016.093843 0.5860656 -0.3432419 1.3030413 0.0185047 -0.0232852 -0.0104337 0.9995031
1520621016.102176 0.5860787 -0.3432533 1.3029535 0.0180880 -0.0221591 -0.0104301 0.9995364
1520621016.110509 0.5863738 -0.3430423 1.3025900 0.0189326 -0.0225295 -0.0107280 0.9995093
1520621016.118842 0.5863580 -0.3430383 1.3025498 0.0186166 -0.0215382 -0.0110713 0.9995334
1520621016.127176 0.5866345 -0.3428566 1.3021146 0.0192098 -0.0217944 -0.0107585 0.9995200
1520621016.135509 0.5866651 -0.3429425 1.3020894 0.0190170 -0.0208372 -0.0111115 0.9995402
1520621016.143843 0.5869538 -0.3427984 1.3017371 0.0195593 -0.0210886 -0.0112014 0.9995235
1520621016.152176 0.5869574 -0.3428421 1.3017128 0.0192917 -0.0200607 -0.0112250 0.9995496
1520621016.160509 0.5872306 -0.3426824 1.3013416 0.0199924 -0.0201651 -0.0112760 0.9995332
1520621016.168842 0.5872973 -0.3427614 1.3013758 0.0196331 -0.0190788 -0.0116252 0.9995576
1520621016.177176 0.5875419 -0.3426181 1.3010021 0.0201980 -0.0193069 -0.0118225 0.9995397
1520621016.185509 0.5875335 -0.3426652 1.3010222 0.0195657 -0.0180802 -0.0117118 0.9995765
1520621016.193843 0.5878094 -0.3425418 1.3007122 0.0201407 -0.0182673 -0.0119412 0.9995589
1520621016.202176 0.5878375 -0.3426367 1.3007793 0.0195221 -0.0173389 -0.0120468 0.9995865
1520621016.210509 0.5880208 -0.3426404 1.3007098 0.0192256 -0.0171833 -0.0121698 0.9995934
1520621016.218843 0.5881702 -0.3426083 1.3006662 0.0190775 -0.0170454 -0.0121743 0.9995986
1520621016.227176 0.5883467 -0.3425846 1.3006592 0.0187887 -0.0169614 -0.0121507 0.9996057
1520621016.235509 0.5885302 -0.3425386 1.3006630 0.0184112 -0.0169960 -0.0119825 0.9996142
1520621016.243842 0.5887311 -0.3425004 1.3006846 0.0180933 -0.0170904 -0.0117101 0.9996216
1520621016.252176 0.5889290 -0.3424272 1.3007967 0.0175317 -0.0172816 -0.0114951 0.9996309
1520621016.260509 0.5891351 -0.3423499 1.3008622 0.0171251 -0.0174506 -0.0110084 0.9996404
1520621016.268843 0.5893623 -0.3422909 1.3009617 0.0167249 -0.0177377 -0.0106530 0.9996460
1520621016.277176 0.5895927 -0.3422136 1.3010443 0.0161866 -0.0178708 -0.0099970 0.9996593
1520621016.285509 0.5898136 -0.3421088 1.3011540 0.0158442 -0.0180842 -0.0094034 0.9996667
1520621016.293842 0.5900349 -0.3420219 1.3012812 0.0155226 -0.0183832 -0.0090183 0.9996698
1520621016.302176 0.5902660 -0.3419416 1.3014085 0.0155111 -0.0187837 -0.0088090 0.9996644
1520621016.310509 0.5905257 -0.3419324 1.3014963 0.0157061 -0.0189404 -0.0084944 0.9996612
1520621016.318843 0.5908276 -0.3419860 1.3016800 0.0152761 -0.0195077 -0.0080707 0.9996604
1520621016.327176 0.5910196 -0.3418449 1.3018668 0.0150290 -0.0200118 -0.0079381 0.9996553
1520621016.335509 0.5915041 -0.3420073 1.3022305 0.0142961 -0.0212315 -0.0076355 0.9996432
1520621016.343843 0.5917375 -0.3418469 1.3023370 0.0146579 -0.0214510 -0.0070013 0.9996379
1520621016.352176 0.5919912 -0.3417724 1.3024965 0.0147733 -0.0219706 -0.0066130 0.9996276
1520621016.360509 0.5922279 -0.3416677 1.3025825 0.0153622 -0.0223405 -0.0065120 0.9996112
1520621016.368842 0.5922126 -0.3412162 1.3024474 0.0168779 -0.0220295 -0.0062594 0.9995952
1520621016.377176 0.5925494 -0.3410252 1.3024121 0.0177980 -0.0228208 -0.0056792 0.9995650
1520621016.385509 0.5925445 -0.3410196 1.3026122 0.0181553 -0.0226521 -0.0058614 0.9995614
1520621016.393843 0.5928316 -0.3408209 1.3025583 0.0193947 -0.0235461 -0.0057454 0.9995181
1520621016.402176 0.5927850 -0.3407620 1.3028046 0.0195081 -0.0230699 -0.0058409 0.9995264
