#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520520700.828178 0.5864229 0.0359696 1.2574307 0.0371034 0.0069969 -0.0188021 0.9991100
1520520700.836511 0.5863925 0.0360657 1.2574686 0.0366874 0.0066528 -0.0189539 0.9991249
1520520700.844845 0.5864186 0.0360809 1.2575123 0.0362919 0.0065933 -0.0186265 0.9991459
1520520700.853178 0.5863623 0.0361740 1.2575715 0.0361256 0.0065471 -0.0188389 0.9991482
1520520700.861511 0.5863320 0.0362451 1.2576055 0.0360718 0.0065212 -0.0189755 0.9991478
1520520700.869843 0.5862419 0.0363902 1.2576383 0.0362672 0.0066685 -0.0193833 0.9991319
1520520700.878178 0.5861935 0.0364492 1.2576539 0.0364647 0.0068210 -0.0193749 0.9991238
1520520700.886511 0.5861577 0.0365454 1.2576140 0.0366842 0.0066452 -0.0196684 0.9991112
1520520700.894844 0.5861522 0.0366063 1.2576031 0.0371927 0.0067593 -0.0197431 0.9990902
1520520700.903177 0.5857656 0.0364947 1.2576985 0.0372242 0.0078597 -0.0193759 0.9990882
1520520700.911511 0.5857262 0.0365761 1.2576581 0.0375230 0.0079444 -0.0194714 0.9990745
1520520700.919845 0.5858989 0.0368671 1.2575062 0.0385068 0.0076536 -0.0198619 0.9990316
1520520700.928178 0.5856628 0.0367530 1.2575370 0.0384379 0.0082958 -0.0196999 0.9990323
1520520700.936511 0.5856173 0.0367685 1.2574899 0.0386724 0.0083881 -0.0197285 0.9990220
1520520700.944845 0.5855787 0.0368649 1.2574241 0.0390591 0.0085819 -0.0199553 0.9990008
1520520700.953178 0.5855065 0.0369661 1.2573032 0.0397184 0.0086006 -0.0202318 0.9989690
1520520700.961511 0.5855871 0.0369428 1.2573146 0.0395695 0.0086423 -0.0207291 0.9989644
1520520700.969845 0.5854400 0.0370612 1.2572198 0.0402570 0.0090512 -0.0206478 0.9989350
1520520700.978178 0.5853697 0.0371273 1.2571599 0.0407006 0.0091235 -0.0210443 0.9989081
1520520700.986511 0.5853407 0.0371781 1.2570954 0.0409687 0.0093950 -0.0213869 0.9988873
1520520700.994844 0.5852810 0.0372250 1.2570052 0.0412051 0.0096779 -0.0216168 0.9988700
1520520701.003178 0.5852393 0.0372132 1.2569284 0.0413593 0.0100104 -0.0218328 0.9988556
1520520701.011511 0.5851939 0.0372162 1.2568945 0.0412961 0.0102252 -0.0221984 0.9988480
1520520701.019844 0.5851327 0.0372875 1.2568220 0.0415926 0.0106149 -0.0227195 0.9988199
1520520701.028178 0.5850555 0.0372421 1.2567750 0.0413843 0.0108250 -0.0230587 0.9988185
1520520701.036510 0.5850172 0.0372862 1.2566762 0.0416549 0.0109316 -0.0236526 0.9987922
1520520701.044845 0.5849885 0.0372225 1.2566253 0.0418369 0.0109959 -0.0239792 0.9987761
1520520701.053178 0.5849612 0.0371537 1.2565562 0.0419797 0.0111436 -0.0239764 0.9987686
1520520701.061511 0.5848658 0.0370004 1.2564674 0.0419209 0.0108454 -0.0238607 0.9987771
1520520701.069844 0.5848340 0.0369314 1.2563539 0.0417700 0.0104244 -0.0240443 0.9987835
1520520701.078178 0.5848608 0.0367861 1.2562906 0.0415401 0.0094640 -0.0244452 0.9987929
1520520701.086511 0.5848750 0.0369216 1.2561299 0.0425273 0.0089618 -0.0251820 0.9987377
1520520701.094845 0.5848018 0.0368056 1.2560137 0.0426945 0.0084091 -0.0247159 0.9987470
1520520701.103178 0.5846603 0.0369324 1.2558003 0.0433569 0.0078927 -0.0251744 0.9987112
1520520701.111511 0.5847481 0.0369046 1.2557180 0.0433917 0.0071322 -0.0256297 0.9987039
1520520701.119844 0.5846657 0.0366528 1.2556869 0.0427692 0.0066570 -0.0248882 0.9987528
1520520701.128178 0.5846494 0.0365939 1.2556457 0.0424529 0.0062488 -0.0248142 0.9987707
1520520701.136511 0.5846138 0.0365955 1.2555834 0.0422683 0.0059634 -0.0247167 0.9987827
1520520701.144844 0.5845983 0.0365384 1.2555510 0.0420187 0.0056180 -0.0245471 0.9987994
1520520701.153178 0.5846057 0.0364659 1.2555448 0.0416584 0.0053030 -0.0243131 0.9988220
1520520701.161511 0.5845493 0.0365414 1.2554539 0.0417937 0.0050434 -0.0242292 0.9988197
1520520701.169845 0.5845776 0.0364417 1.2554518 0.0413300 0.0047565 -0.0238238 0.9988502
1520520701.178178 0.5845932 0.0363509 1.2554363 0.0410288 0.0045527 -0.0233488 0.9988747
1520520701.186511 0.5846122 0.0362646 1.2554216 0.0406269 0.0041399 -0.0230732 0.9988994
1520520701.194845 0.5846144 0.0362157 1.2553886 0.0403057 0.0037843 -0.0227925 0.9989202
1520520701.203177 0.5846761 0.0361090 1.2553632 0.0401808 0.0034469 -0.0224422 0.9989344
1520520701.211511 0.5846270 0.0360642 1.2552912 0.0402526 0.0033232 -0.0220987 0.9989396
1520520701.219845 0.5846731 0.0359374 1.2552646 0.0400635 0.0031218 -0.0217198 0.9989562
1520520701.228178 0.5846411 0.0358745 1.2552076 0.0401483 0.0030289 -0.0215275 0.9989572
1520520701.236511 0.5846223 0.0357869 1.2551528 0.0401857 0.0029316 -0.0213906 0.9989589
1520520701.244844 0.5845905 0.0356554 1.2551015 0.0400842 0.0030302 -0.0211046 0.9989688
