#TimeStamp Tx Ty Tz Qx Qy Qz Qw
1520521184.774000 0.2680309 0.0383393 1.0770597 0.0276301 0.6886972 -0.7237545 0.0333483
1520521184.782333 0.2678427 0.0383415 1.0769715 0.0280574 0.6888552 -0.7235907 0.0332838
1520521184.790667 0.2676833 0.0383504 1.0769282 0.0284264 0.6888770 -0.7235538 0.0333203
1520521184.799000 0.2675287 0.0384066 1.0768605 0.0286412 0.6889638 -0.7234623 0.0333291
1520521184.807333 0.2673144 0.0384674 1.0767881 0.0288478 0.6890083 -0.7234145 0.0332684
1520521184.815667 0.2671120 0.0385430 1.0767145 0.0292254 0.6890064 -0.7234013 0.0332670
1520521184.824000 0.2670463 0.0386544 1.0766251 0.0290188 0.6891128 -0.7232975 0.0334984
1520521184.832333 0.2669182 0.0388442 1.0764735 0.0289446 0.6893238 -0.7230882 0.0337398
1520521184.840666 0.2667357 0.0390117 1.0763660 0.0289294 0.6893720 -0.7230420 0.0337589
1520521184.849000 0.2665865 0.0391404 1.0762615 0.0287906 0.6893059 -0.7231026 0.0339289
1520521184.857333 0.2664656 0.0392774 1.0761669 0.0285934 0.6892886 -0.7231187 0.0341028
1520521184.865666 0.2663110 0.0393911 1.0761440 0.0284648 0.6891527 -0.7232446 0.0342851
1520521184.874000 0.2661924 0.0395009 1.0760573 0.0281344 0.6890494 -0.7233431 0.0345552
1520521184.882333 0.2660378 0.0396771 1.0759795 0.0278901 0.6889626 -0.7234295 0.0346762
1520521184.890667 0.2658633 0.0397752 1.0759165 0.0279470 0.6887330 -0.7236366 0.0348704
1520521184.899000 0.2657733 0.0399330 1.0758266 0.0275673 0.6887615 -0.7236104 0.0351508
1520521184.907333 0.2656370 0.0400580 1.0757833 0.0277403 0.6886529 -0.7236963 0.0353744
1520521184.915667 0.2655261 0.0401883 1.0757321 0.0279582 0.6885017 -0.7238142 0.0357304
1520521184.924000 0.2653950 0.0403766 1.0756551 0.0280480 0.6885626 -0.7237366 0.0360584
1520521184.932333 0.2653040 0.0404823 1.0755861 0.0280236 0.6885467 -0.7237364 0.0363839
1520521184.940667 0.2650826 0.0405675 1.0755231 0.0277391 0.6884951 -0.7237904 0.0365024
1520521184.949000 0.2649777 0.0407646 1.0753484 0.0275761 0.6887215 -0.7235665 0.0367929
1520521184.957333 0.2648730 0.0409682 1.0751473 0.0274156 0.6890073 -0.7232878 0.0370426
1520521184.965666 0.2647706 0.0411495 1.0749348 0.0271892 0.6893766 -0.7229359 0.0372078
1520521184.974000 0.2645518 0.0414130 1.0746879 0.0269670 0.6894951 -0.7228197 0.0374306
1520521184.982333 0.2645093 0.0414387 1.0745893 0.0266129 0.6897126 -0.7226212 0.0375092
1520521184.990666 0.2643232 0.0415885 1.0743423 0.0265306 0.6900861 -0.7222698 0.0374651
1520521184.999000 0.2641730 0.0416896 1.0741709 0.0264872 0.6903635 -0.7220125 0.0373456
1520521185.007333 0.2640063 0.0418166 1.0739511 0.0263019 0.6906618 -0.7217344 0.0373347
1520521185.015667 0.2638424 0.0418808 1.0738039 0.0261002 0.6907569 -0.7216533 0.0372852
1520521185.024000 0.2636371 0.0419470 1.0736713 0.0257607 0.6907474 -0.7216860 0.0370630
1520521185.032333 0.2634504 0.0419766 1.0735133 0.0254322 0.6907521 -0.7216989 0.0369512
1520521185.040667 0.2632450 0.0419757 1.0733666 0.0250134 0.6905935 -0.7218704 0.0368519
1520521185.049000 0.2630532 0.0419934 1.0731978 0.0245161 0.6905125 -0.7219743 0.0366685
1520521185.057333 0.2628456 0.0419127 1.0731306 0.0236603 0.6901579 -0.7223419 0.0366665
1520521185.065667 0.2626523 0.0420790 1.0728918 0.0230507 0.6903307 -0.7222062 0.0364748
1520521185.074000 0.2623381 0.0421095 1.0726218 0.0224107 0.6903369 -0.7222340 0.0362053
1520521185.082333 0.2620853 0.0421031 1.0724040 0.0215905 0.6902646 -0.7223364 0.0360373
1520521185.090666 0.2617978 0.0421150 1.0721451 0.0205766 0.6903981 -0.7222560 0.0356846
1520521185.099000 0.2614953 0.0421798 1.0718462 0.0198516 0.6905724 -0.7221270 0.0353306
1520521185.107333 0.2611752 0.0420552 1.0716622 0.0189289 0.6903802 -0.7223585 0.0348575
1520521185.115666 0.2608697 0.0419487 1.0714722 0.0180764 0.6902499 -0.7225270 0.0343968
1520521185.124000 0.2605682 0.0419175 1.0712425 0.0171152 0.6900808 -0.7227269 0.0340777
1520521185.132333 0.2603003 0.0418713 1.0709619 0.0163822 0.6900541 -0.7227876 0.0336909
1520521185.140667 0.2599436 0.0417482 1.0706682 0.0158419 0.6901718 -0.7227168 0.0330509
1520521185.149000 0.2596040 0.0416626 1.0703620 0.0150242 0.6902567 -0.7226752 0.0325653
1520521185.157333 0.2593010 0.0415723 1.0701295 0.0142759 0.6902525 -0.7227120 0.0321716
1520521185.165667 0.2589866 0.0415632 1.0698431 0.0136765 0.6904721 -0.7225277 0.0318589
1520521185.174000 0.2587122 0.0414946 1.0696306 0.0129589 0.6904064 -0.7226032 0.0318697
1520521185.182333 0.2584082 0.0414993 1.0693760 0.0122877 0.6906972 -0.7223426 0.0317407
1520521185.190667 0.2580876 0.0413958 1.0691958 0.0118663 0.6907513 -0.7223034 0.0316155
1520521185.199000 0.2576612 0.0408026 1.0693010 0.0113925 0.6892305 -0.7237619 0.0316252
1520521185.207333 0.2573297 0.0406905 1.0692546 0.0111723 0.6891168 -0.7238622 0.0318857
1520521185.215666 0.2569598 0.0405974 1.0692638 0.0108395 0.6890603 -0.7239086 0.0321685
1520521185.224000 0.2565423 0.0405027 1.0692579 0.0107467 0.6891607 -0.7237981 0.0325316
1520521185.232333 0.2560844 0.0403939 1.0692793 0.0109127 0.6892755 -0.7236689 0.0329161
1520521185.240666 0.2555526 0.0402214 1.0692894 0.0111784 0.6893503 -0.7235808 0.0331985
1520521185.249000 0.2550222 0.0399544 1.0693728 0.0114962 0.6892911 -0.7236227 0.0334049
1520521185.257333 0.2544169 0.0397117 1.0694004 0.0119067 0.6893320 -0.7235717 0.0335215
1520521185.265667 0.2537974 0.0396061 1.0692499 0.0123129 0.6897254 -0.7231816 0.0336989
1520521185.274000 0.2532141 0.0394349 1.0691729 0.0123377 0.6900790 -0.7228379 0.0338242
1520521185.282333 0.2525939 0.0391661 1.0691891 0.0126589 0.6901577 -0.7227523 0.0339280
1520521185.290667 0.2518812 0.0389478 1.0691217 0.0130893 0.6901481 -0.7227567 0.0338683
1520521185.299000 0.2512619 0.0387066 1.0690717 0.0131725 0.6902886 -0.7226238 0.0338086
1520521185.307333 0.2505970 0.0385321 1.0690079 0.0133778 0.6903384 -0.7225712 0.0338336
1520521185.315667 0.2499280 0.0384627 1.0687878 0.0130601 0.6908597 -0.7220660 0.0341024
1520521185.324000 0.2492630 0.0382767 1.0687582 0.0132139 0.6909940 -0.7219258 0.0342907
1520521185.332333 0.2485215 0.0379777 1.0688803 0.0137166 0.6906720 -0.7222277 0.0342218
1520521185.340666 0.2478555 0.0378534 1.0687804 0.0133585 0.6911450 -0.7217647 0.0345806
1520521185.349000 0.2470854 0.0375723 1.0688309 0.0137901 0.6909599 -0.7219266 0.0347317
1520521185.357333 0.2462381 0.0372611 1.0689542 0.0140679 0.6902905 -0.7225546 0.0348707
1520521185.365666 0.2454815 0.0370596 1.0689351 0.0141963 0.6903923 -0.7224430 0.0351163
1520521185.374000 0.2447391 0.0367717 1.0690139 0.0144443 0.6902966 -0.7225251 0.0352065
1520521185.382333 0.2439337 0.0366282 1.0689149 0.0145855 0.6903770 -0.7224295 0.0355310
1520521185.390667 0.2431844 0.0364174 1.0688987 0.0145026 0.6903610 -0.7224311 0.0358424
1520521185.399000 0.2424386 0.0363424 1.0687793 0.0143269 0.6906816 -0.7221147 0.0361104
1520521185.407333 0.2417260 0.0361747 1.0687108 0.0140450 0.6908514 -0.7219435 0.0363964
1520521185.415667 0.2409719 0.0360847 1.0685181 0.0138609 0.6913150 -0.7214924 0.0366088
1520521185.424000 0.2402733 0.0358847 1.0683817 0.0137893 0.6914407 -0.7213535 0.0369966
1520521185.432333 0.2395555 0.0357203 1.0681923 0.0134622 0.6916949 -0.7211022 0.0372642
1520521185.440667 0.2388428 0.0356642 1.0679151 0.0132031 0.6923206 -0.7204988 0.0374077
1520521185.449000 0.2381233 0.0353634 1.0678276 0.0127478 0.6923362 -0.7204709 0.0378126
1520521185.457333 0.2373928 0.0351610 1.0676675 0.0126381 0.6923825 -0.7204121 0.0381197
1520521185.465666 0.2366631 0.0349994 1.0674673 0.0127252 0.6924740 -0.7203018 0.0385124
1520521185.474000 0.2359230 0.0348007 1.0673615 0.0123410 0.6926012 -0.7201594 0.0390091
1520521185.482333 0.2352675 0.0345239 1.0672791 0.0122373 0.6924798 -0.7202285 0.0399104
1520521185.490666 0.2345957 0.0340365 1.0674507 0.0125139 0.6918074 -0.7208337 0.0405549
1520521185.499000 0.2337492 0.0339143 1.0673633 0.0121484 0.6920775 -0.7205529 0.0410444
1520521185.507333 0.2329981 0.0335937 1.0673746 0.0124216 0.6920581 -0.7205309 0.0416721
1520521185.515667 0.2320566 0.0331460 1.0674403 0.0129586 0.6915552 -0.7209898 0.0419188
1520521185.524000 0.2311275 0.0327002 1.0673960 0.0131895 0.6913347 -0.7211806 0.0422012
1520521185.532333 0.2301487 0.0321672 1.0673547 0.0136827 0.6912895 -0.7212073 0.0423284
1520521185.540667 0.2291790 0.0316271 1.0672725 0.0141033 0.6914955 -0.7210000 0.0423553
1520521185.549000 0.2280332 0.0309696 1.0672078 0.0150744 0.6914467 -0.7210396 0.0421448
1520521185.557333 0.2273920 0.0312659 1.0664320 0.0182557 0.6937584 -0.7187217 0.0424876
1520521185.565667 0.2261446 0.0305497 1.0663502 0.0193413 0.6937406 -0.7187251 0.0422396
1520521185.574000 0.2245002 0.0283787 1.0670166 0.0191468 0.6908522 -0.7215417 0.0416451
1520521185.582333 0.2234746 0.0285261 1.0663983 0.0217488 0.6932022 -0.7192224 0.0414340
1520521185.590666 0.2222836 0.0274228 1.0663747 0.0226578 0.6928611 -0.7195140 0.0415898
1520521185.599000 0.2211620 0.0272316 1.0660013 0.0231882 0.6944146 -0.7179752 0.0419801
1520521185.607333 0.2200784 0.0261442 1.0661170 0.0244100 0.6939232 -0.7183867 0.0423701
1520521185.615666 0.2188835 0.0260339 1.0657368 0.0251505 0.6957451 -0.7166012 0.0422966
1520521185.624000 0.2179163 0.0249243 1.0658555 0.0264958 0.6952113 -0.7170501 0.0426437
1520521185.632333 0.2167106 0.0252097 1.0652649 0.0272498 0.6977171 -0.7145729 0.0428241
1520521185.640667 0.2157431 0.0240153 1.0655492 0.0280680 0.6965836 -0.7156145 0.0433515
1520521185.649000 0.2144794 0.0239627 1.0651685 0.0273635 0.6984368 -0.7138260 0.0434707
1520521185.657333 0.2133248 0.0233837 1.0651190 0.0277085 0.6986125 -0.7136246 0.0437354
1520521185.665667 0.2121847 0.0227076 1.0652124 0.0282977 0.6984671 -0.7137324 0.0439203
1520521185.674000 0.2110009 0.0221138 1.0651851 0.0285119 0.6987112 -0.7134800 0.0439989
1520521185.682333 0.2098187 0.0213166 1.0653194 0.0287429 0.6985398 -0.7136333 0.0440851
1520521185.690667 0.2085423 0.0204900 1.0654512 0.0292323 0.6982088 -0.7139360 0.0441064
1520521185.699000 0.2072635 0.0196838 1.0656203 0.0294455 0.6979433 -0.7141952 0.0439688
1520521185.707333 0.2059873 0.0190191 1.0656001 0.0303049 0.6984409 -0.7137020 0.0434889
1520521185.715666 0.2047102 0.0181675 1.0657545 0.0302627 0.6981889 -0.7139527 0.0434505
1520521185.724000 0.2032783 0.0169363 1.0660753 0.0302450 0.6972924 -0.7148581 0.0429709
1520521185.732333 0.2018920 0.0159194 1.0662279 0.0302033 0.6967526 -0.7153901 0.0429025
1520521185.740666 0.2006891 0.0153481 1.0661177 0.0320888 0.6975635 -0.7145474 0.0423970
1520521185.749000 0.1990734 0.0139972 1.0663325 0.0309575 0.6965956 -0.7155780 0.0417647
1520521185.757333 0.1975539 0.0127302 1.0666965 0.0304241 0.6956086 -0.7165657 0.0416738
1520521185.765667 0.1960890 0.0118283 1.0666659 0.0317687 0.6960905 -0.7160835 0.0409043
1520521185.774000 0.1941638 0.0104860 1.0669029 0.0308087 0.6952437 -0.7169888 0.0401757
1520521185.782333 0.1927323 0.0095341 1.0669220 0.0318664 0.6958613 -0.7163744 0.0396142
1520521185.790667 0.1911332 0.0083941 1.0670888 0.0315524 0.6955017 -0.7167538 0.0393158
1520521185.799000 0.1895083 0.0072473 1.0671594 0.0316172 0.6956600 -0.7166273 0.0387673
1520521185.807333 0.1878292 0.0060963 1.0672520 0.0325297 0.6957818 -0.7165064 0.0380534
1520521185.815667 0.1862338 0.0049974 1.0673753 0.0332849 0.6960769 -0.7162062 0.0376535
1520521185.824000 0.1846686 0.0038476 1.0675640 0.0336378 0.6961673 -0.7161165 0.0373726
1520521185.832333 0.1828642 0.0026992 1.0677840 0.0345044 0.6962628 -0.7160249 0.0365496
1520521185.840666 0.1813131 0.0014033 1.0680577 0.0351874 0.6961063 -0.7161572 0.0362873
1520521185.849000 0.1794729 0.0002170 1.0683008 0.0364083 0.6960484 -0.7161849 0.0356413
1520521185.857333 0.1779613 -0.0010579 1.0685569 0.0369950 0.6960942 -0.7161143 0.0355611
1520521185.865666 0.1760798 -0.0021924 1.0687279 0.0372908 0.6963300 -0.7159101 0.0347364
1520521185.874000 0.1744726 -0.0035388 1.0690981 0.0382209 0.6959893 -0.7161990 0.0345977
1520521185.882333 0.1727431 -0.0047645 1.0693292 0.0387335 0.6959851 -0.7161920 0.0342561
1520521185.890667 0.1708974 -0.0060222 1.0696121 0.0393012 0.6961549 -0.7160275 0.0335923
1520521185.899000 0.1693509 -0.0073100 1.0698139 0.0400308 0.6961717 -0.7159670 0.0336697
1520521185.907333 0.1672806 -0.0086312 1.0701227 0.0400198 0.6960522 -0.7161225 0.0328376
1520521185.915667 0.1654894 -0.0099266 1.0703662 0.0399542 0.6961773 -0.7160197 0.0325050
1520521185.924000 0.1639474 -0.0112002 1.0705279 0.0408007 0.6963946 -0.7157504 0.0327292
1520521185.932333 0.1617493 -0.0127780 1.0709185 0.0407275 0.6958389 -0.7163352 0.0318333
1520521185.940667 0.1600250 -0.0141585 1.0711113 0.0416390 0.6957922 -0.7163293 0.0318068
1520521185.949000 0.1580418 -0.0156003 1.0712897 0.0418952 0.6956651 -0.7164601 0.0313002
1520521185.957333 0.1558773 -0.0171188 1.0715558 0.0420544 0.6953697 -0.7167677 0.0306016
1520521185.965666 0.1539069 -0.0185209 1.0716257 0.0424613 0.6956708 -0.7164715 0.0301286
1520521185.974000 0.1517990 -0.0199246 1.0717565 0.0424849 0.6958335 -0.7163348 0.0295835
1520521185.982333 0.1497273 -0.0216082 1.0720227 0.0423612 0.6952836 -0.7168876 0.0292977
1520521185.990666 0.1475167 -0.0231745 1.0721643 0.0426889 0.6952351 -0.7169448 0.0285648
1520521185.999000 0.1455266 -0.0249063 1.0724022 0.0429668 0.6947930 -0.7173563 0.0285724
1520521186.007333 0.1432268 -0.0264013 1.0724693 0.0429193 0.6949202 -0.7172649 0.0278359
1520521186.015667 0.1411054 -0.0280497 1.0725973 0.0424566 0.6949155 -0.7173054 0.0276208
1520521186.024000 0.1388201 -0.0297090 1.0727234 0.0429860 0.6945773 -0.7176186 0.0271674
1520521186.032333 0.1366117 -0.0314468 1.0729446 0.0435185 0.6941707 -0.7179910 0.0268711
1520521186.040667 0.1343286 -0.0330671 1.0730104 0.0435124 0.6942437 -0.7179335 0.0265283
1520521186.049000 0.1319348 -0.0345459 1.0729206 0.0438277 0.6945479 -0.7176379 0.0260419
1520521186.057333 0.1295788 -0.0364316 1.0731588 0.0437222 0.6939724 -0.7182104 0.0257774
1520521186.065667 0.1271752 -0.0380733 1.0731869 0.0439851 0.6940093 -0.7181719 0.0254056
1520521186.074000 0.1247369 -0.0398321 1.0733278 0.0441330 0.6937116 -0.7184617 0.0250868
1520521186.082333 0.1222776 -0.0418098 1.0735896 0.0441132 0.6930984 -0.7190618 0.0248739
1520521186.090666 0.1198773 -0.0435614 1.0737055 0.0445016 0.6928533 -0.7192761 0.0248158
1520521186.099000 0.1173405 -0.0453548 1.0737181 0.0443227 0.6929157 -0.7192327 0.0246503
1520521186.107333 0.1148891 -0.0471439 1.0737681 0.0446458 0.6928003 -0.7193219 0.0247108
1520521186.115666 0.1122154 -0.0489225 1.0738256 0.0448379 0.6927401 -0.7193804 0.0243434
1520521186.124000 0.1095282 -0.0507778 1.0738695 0.0451243 0.6926501 -0.7194612 0.0239832
1520521186.132333 0.1068538 -0.0524632 1.0737625 0.0451749 0.6930011 -0.7191279 0.0237442
1520521186.140667 0.1041436 -0.0543315 1.0737381 0.0450963 0.6930651 -0.7190767 0.0235743
1520521186.149000 0.1016043 -0.0561237 1.0737438 0.0449211 0.6931024 -0.7190429 0.0238426
1520521186.157333 0.0986366 -0.0577946 1.0735210 0.0450710 0.6936323 -0.7185419 0.0232464
1520521186.165667 0.0956507 -0.0597698 1.0736324 0.0445155 0.6932721 -0.7189358 0.0228794
1520521186.174000 0.0927141 -0.0615815 1.0735748 0.0443639 0.6934822 -0.7187522 0.0225751
1520521186.182333 0.0898427 -0.0635501 1.0735911 0.0443334 0.6934412 -0.7187972 0.0224580
1520521186.190667 0.0867884 -0.0653366 1.0735762 0.0441575 0.6933797 -0.7188704 0.0223612
1520521186.199000 0.0837748 -0.0673682 1.0736530 0.0440712 0.6932731 -0.7189890 0.0220220
1520521186.207333 0.0806847 -0.0692294 1.0736219 0.0438078 0.6934284 -0.7188657 0.0216833
1520521186.215666 0.0775394 -0.0713303 1.0737760 0.0434196 0.6930282 -0.7192854 0.0213332
1520521186.224000 0.0743120 -0.0732306 1.0738301 0.0433917 0.6929822 -0.7193403 0.0210318
1520521186.232333 0.0709332 -0.0752760 1.0739023 0.0432957 0.6928202 -0.7195226 0.0203186
1520521186.240666 0.0675801 -0.0771673 1.0739463 0.0432974 0.6929349 -0.7194296 0.0196899
1520521186.249000 0.0643232 -0.0790297 1.0739813 0.0432815 0.6930520 -0.7193293 0.0192607
1520521186.257333 0.0606440 -0.0811401 1.0742596 0.0429061 0.6927293 -0.7196863 0.0183525
1520521186.265667 0.0570655 -0.0829232 1.0742851 0.0428966 0.6930556 -0.7193911 0.0176117
1520521186.274000 0.0540828 -0.0845129 1.0742019 0.0437257 0.6939592 -0.7184612 0.0179507
1520521186.282333 0.0503528 -0.0863106 1.0743798 0.0443967 0.6941385 -0.7182684 0.0170622
1520521186.290667 0.0467257 -0.0882282 1.0747191 0.0446334 0.6939295 -0.7184608 0.0168444
1520521186.299000 0.0425494 -0.0904323 1.0752847 0.0436156 0.6931409 -0.7193099 0.0157036
1520521186.307333 0.0395142 -0.0914649 1.0750897 0.0463205 0.6951479 -0.7171957 0.0159412
1520521186.315667 0.0350895 -0.0938532 1.0757152 0.0436999 0.6937621 -0.7187188 0.0150941
1520521186.324000 0.0321142 -0.0947275 1.0757234 0.0464119 0.6953076 -0.7170392 0.0157491
1520521186.332333 0.0279595 -0.0968662 1.0760239 0.0453065 0.6948002 -0.7176166 0.0150508
1520521186.340666 0.0234620 -0.0989378 1.0765898 0.0441001 0.6941766 -0.7183231 0.0136343
1520521186.349000 0.0199978 -0.1001103 1.0765316 0.0456865 0.6955179 -0.7169280 0.0134862
1520521186.357333 0.0159559 -0.1017355 1.0767054 0.0457724 0.6957488 -0.7167064 0.0130541
1520521186.365666 0.0118176 -0.1033045 1.0769591 0.0457689 0.6960632 -0.7164181 0.0120998
1520521186.374000 0.0073056 -0.1051890 1.0776025 0.0439945 0.6952702 -0.7173180 0.0108970
1520521186.382333 0.0034917 -0.1063264 1.0774768 0.0458561 0.6967080 -0.7158161 0.0101264
